STELE BIO                      | esp. G02F HORMONIOS SEXUAIS TOPICOS           | app G03C ESTROGENOS E ASSOCIACOES EXCETO G03A G03E G03F
OSS-FOR                        | esp. A12A CALCIO                              | app VITAMINA OUTRO
PIMEL                          | esp. R02A PREPARACOES PARA GARGANTA           | app OUTRA CATEGORIA
NOINTOX                        | esp. A07B ADSORBENTES INTESTINALES ANTIDIARRE | app A02A2 ANTIFISETICOS PUROS
NITRA MICONAZOL NEO            | esp. G01A TRICOMONICIDAS                      | app D01A1 ANTIFUNGICOS DERMATOLOGICOS TOPICOS
NOVO NORDISK                   | esp. A10C INSULINAS HUMANAS E ANALOGAS        | app OUTRA CATEGORIA
NOINTOX CIF                    | esp. A07B ADSORBENTES INTESTINALES ANTIDIARRE | app A02A2 ANTIFISETICOS PUROS
ECOFITUS ECF                   | esp. A06A DROGAS PARA A CONSTIPACAO           | app OUTRA CATEGORIA
PLENANCE EZE                   | esp. C10C REGUL DE LIPIDEOS EM COMB C OUT LIP | app C10A1 ESTATINASINIB DA HMG COA REDUTASE
MANITOL EQP                    | esp. K01F SOLUCOES PARA TERAPIA OSMOTICA      | app A06B1 LIMPIADORES INTESTINALES OSMOTICO
TELMISARTANA TOR               | esp. N06A A DEPRESSIVOS E REGUL DE HUMOR      | app C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS
CLAMVIT                        | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
SUPRACORP                      | esp. A06A DROGAS PARA A CONSTIPACAO           | app VITAMINA OUTRO
HISTADIN                       | esp. R01B DESCONGESTIONANTES NASAIS SISTEMICO | app R06A ANTIHISTAMINICOS SISTEMICOS
LACLIZE AIR                    | esp. A07F MICROORGANISMOS ANTIDIARREICOS      | app A09A DIGESTIVOS INCLUIDO ENZIMAS
NATUNECTAR NNC                 | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app OUTRA CATEGORIA
LOSARTANA HIDROCLOROTIAZIDA BIO | esp. C09D ANTAGONISTAS DE LA ANGIOTENSINA II  | app C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS
NUTRILIFE                      | esp. H04X OUTRAS HORMONIOS E PREPARACAO COM A | app VITAMINA OUTRO
LINHOLEV LIL                   | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
AGAFARMA                       | esp. N02B NAO NARCOTICOS ANTIPIRETICOS        | app OUTRA CATEGORIA
METFORMINA ACR                 | esp. A10J BIGUANIDA A DIABETICOS              | app A10P3 INIBIDOR SGLT2 ANTIDIABETICOS COM BIGUANIDAS
MAL TRIMEBUTINA                | esp. A03A ANTIESPASMODICOS E ANTICOLINERGICOS | app A03F GASTROPROCINETICOS
BY SAMIA                       | esp. M03B RELAXANTES MUSCULARES ACAO CENTRAL  | app OUTRA CATEGORIA
DICLOFENACO PRD                | esp. D10A PREPARACOES ANTIACNE TOPICOS        | app M01A1 ANTI REUMATICOS NAO ESTEROIDAIS PUROS
TG                             | esp. A10S AGONISTAS GLP 1                     | app OUTRA CATEGORIA
LASANDAY LA LSD                | esp. R05C EXPECTORANTES                       | app ACESSORIO COSTURA
NUTRATA                        | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app OUTRA CATEGORIA
GAMAX HEB                      | esp. G03X OUT HORMONIOS SEXUAIS E PRODS SIMIL | app M01A1 ANTI REUMATICOS NAO ESTEROIDAIS PUROS
CLOR DE TRAZODONA ZYD          | esp. N06A A DEPRESSIVOS E REGUL DE HUMOR      | app N05A1 ANTIPSICOTICOS ATIPICOS
LITEE CALCIO                   | esp. A12A CALCIO                              | app VITAMINA OUTRO
ADV                            | esp. A06A DROGAS PARA A CONSTIPACAO           | app OUTRA CATEGORIA
BETAMETASONA UNI               | esp. H02A CORTICOSTEROIDES PUROS              | app D07A CORTICOIDES TOPICOS PUROS
DEXAMETASONA GEO               | esp. D07A CORTICOIDES TOPICOS PUROS           | app H02A CORTICOSTEROIDES PUROS
CANDESARTANA CIL HIDROCLOROTIAZIDA SDZ | esp. C09D ANTAGONISTAS DE LA ANGIOTENSINA II  | app C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS
PHARMASCIENCE                  | esp. A07H INIBIDORES DA MOTILIDADE            | app OUTRA CATEGORIA
BRONQUITOSS LEG                | esp. R05C EXPECTORANTES                       | app R03A2 AGONISTAS BETA 2 SISTEMICOS
APISFLORA AFL                  | esp. R02A PREPARACOES PARA GARGANTA           | app A01A ESTOMATOLOGICOS
CLOR DE TERBINAFINA PRD        | esp. J02A AGENTES ANTIMICOTICOS SISTEMICOS EX | app D01A1 ANTIFUNGICOS DERMATOLOGICOS TOPICOS
FLOGORAL                       | esp. M01A ANTI REUMATICOS SEM ESTEROIDES      | app A11G2 VITAMINA C ASSOCIADA
OSSODRIN D                     | esp. A12A CALCIO                              | app VITAMINA OUTRO
FASHION                        | esp. A02A ANTIACIDOS ANTIFISETICOS            | app OUTRA CATEGORIA
EPADOSE                        | esp. A07F MICROORGANISMOS ANTIDIARREICOS      | app A11D4 VITAMINA B1 ASSOC VIT B6 OU B12
ADEFORTE                       | esp. A10S AGONISTAS GLP 1                     | app A11B4 OUTROS POLIVITAMINICOS PUROS
ZYLORIC                        | esp. M01A ANTI REUMATICOS SEM ESTEROIDES      | app M04A ANTIGOTOSOS
SULMEL                         | esp. R05C EXPECTORANTES                       | app OUTRA CATEGORIA
LOSARTANA HIDROCLOROTIAZIDA TEU | esp. C09D ANTAGONISTAS DE LA ANGIOTENSINA II  | app C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS
NEORLY                         | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app OUTRA CATEGORIA
DICLOR DE CETIRIZINA MED       | esp. R06A ANTIHISTAMINICOS SISTEMICOS         | app VITAMINA OUTRO
GLOBO                          | esp. A02B ANTIULCEROSOS                       | app OUTRA CATEGORIA
VAGIFEM                        | esp. G02F HORMONIOS SEXUAIS TOPICOS           | app G03C ESTROGENOS E ASSOCIACOES EXCETO G03A G03E G03F
GUACOVITA                      | esp. R05C EXPECTORANTES                       | app R05D2 OUTROS ANTITUSSIGENOS ASSOC
CARVEDILOL ZYD                 | esp. A07E PRODUTOS PARA DOENCA INFLAMATORIA I | app C07A AGENTES BETA BLOQUEADORES PUROS
AVVIO AVV                      | esp. M02A ANTIREUMATICOS TOPICOS COM ANALGESI | app OUTRA CATEGORIA
DUELLE ZYD                     | esp. D10B PREPARACOES ANTIACNE ORAIS          | app G03A1 MONOFASICOS MENOR 50 MCG ESTROGENOS
RENOFORCE                      | esp. R05C EXPECTORANTES                       | app VITAMINA OUTRO
METILFENIDATO MD7              | esp. N06B PSICOESTIMULANTES                   | app A15A ESTIMULANTES DO APETITE
CLORETO DE MAGNESIO NUT        | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
DOMPERIDONA EUR                | esp. A03F GASTROPROCINETICOS                  | app A04A1 ANTAGONISTAS DA SEROTONINA
ALURAX MOM                     | esp. G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS | app G03D PROGESTOGENOS E ASSOCIACOES EXCLUINDO G3A G3F
CLOR DE TRAZODONA EUR          | esp. N06A A DEPRESSIVOS E REGUL DE HUMOR      | app N05A1 ANTIPSICOTICOS ATIPICOS
BENOFLEX P                     | esp. R05C EXPECTORANTES                       | app M03B RELAXANTES MUSCULARES ACAO CENTRAL
ESSENTIAL NUTRITION            | esp. A06A DROGAS PARA A CONSTIPACAO           | app VITAMINA OUTRO
SUL DE HIDROXICLOROQUINA NEO   | esp. P01D ANTIMALARICOS                       | app N05A9 ANTIPSICOTICOS CONVENCIONAIS
CREMEDERME CEL                 | esp. J01G FLUOROQUINOLONAS                    | app D07B3 COM ANTIBACTERIANOS E ANTIMICOTICOS
CETOTIFENO                     | esp. M01A ANTI REUMATICOS SEM ESTEROIDES      | app S01G1 ANTIALERGICOS OFTALMICOS ANTIHISTAMINICOS
PROTENA PFS                    | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
SULFAMETOXAZOL                 | esp. J01E ASSOCIACOES DE TRIMETOPRIM E SIMILA | app ANTIBIOTICO CAES E GATOS
SOFTGEL                        | esp. A12C OUTROS SUPLEMENTOS MINERAIS         | app VITAMINA OUTRO
