fabricante	Marca	Algoritmo Marca Propia	Est Mer 6 Descripcion	EST_MER_6_CODIGO	Est Mer 7 Descripcion	Est Mer Codigo	Imp venta últ 24 meses	Qtd Sku	
KENVUE	RESOLOR KEN	NAO E MARCA PROPIA	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1	A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS	.3.12.2.3.1.1	8.777.267	1	a
EMS PHARMA	OMEPRAZOL EMS	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B1 ANTAGONISTAS H2	.3.12.2.2.2.1	8.746.472	6	a
BELFAR	OMOPREL BEL	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	8.730.523	4	a
EMS PHARMA	ACIDO URSODESOXICOLICO RAN	NAO E MARCA PROPIA	A05A PRODUTOS PARA DISTURBIOS DO TRATO BILIAR	.3.12.2.5.1	A05A2 TERAPIA DOS CALCULOS BILIARES	.3.12.2.5.1.2	8.723.962	1	a
HERBARIUM	HERBARIUM HER	NAO E MARCA PROPIA	A02X OUTROS PRODUTOS PARA DESORDENS DO ESTOMAGO	.3.12.2.2.4	A02X OUTROS PRODUTOS PARA DESORDENS DO ESTOMAGO	.3.12.2.2.4.1	8.643.456	1	a
HERTZ FARMACEUTICA	GASTROBION KLE	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A4 ANTIACIDOS COM ANTIFISETICOS	.3.12.2.2.1.3	8.616.560	3	a
LABORATORIO GLOBO	CLOR DE LOPERAMIDA GLO	NAO E MARCA PROPIA	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6.1	8.593.211	2	a
HYPERA PHARMA	URBY	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A2 LAXANTES ESTIMULANTES	.3.12.2.6.1.2	8.573.430	1	a
HYPERA PHARMA	PANTOPRAZOL NEO	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	8.525.379	5	a
NATULAB	CARDOMARIN NAT	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	8.405.231	5	a
RAIA DROGASIL SA	BWELL RDF	MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	8.353.129	4	a
HYPERA PHARMA	FLOMICIN NEO	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	8.297.564	4	a
NATULAB	BUSCOPLEX NAT	NAO E MARCA PROPIA	A03D ASSOCIACOES COM ANALGESICOS	.3.12.2.3.2	A03D ASSOCIACOES COM ANALGESICOS	.3.12.2.3.2.1	8.112.531	1	a
UNIAO QUIMICA	UNIPRAZOL UNI	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	8.054.075	5	a
RANBAXY	MESALAZINA RAN	NAO E MARCA PROPIA	A07E PRODUTOS PARA DOENCA INFLAMATORIA INTESTINAL	.3.12.2.7.3	A07E1 AMINOSALICILATOS INTESTINAIS	.3.12.2.7.3.1	8.045.712	1	a
EUROFARMA	CITOBE EUR	NAO E MARCA PROPIA	A11D VITAMINA B1 E ASSOCIACOES	.3.12.2.11.4	A11D4 VITAMINA B1 ASSOC VIT B6 OU B12	.3.12.2.11.4.2	7.936.588	1	a
HYPERA PHARMA	DRAMAVIT NEO	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A9 OUTROS ANTIEMETICOS E ANTINAUSEA	.3.12.2.4.1.3	7.896.275	3	a
EMS PHARMA	CLAZI XR GER	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	7.875.123	6	a
RAIA DROGASIL SA	BWELL RDF	MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A2 ANTIFISETICOS PUROS	.3.12.2.2.1.2	7.873.312	4	a
PRATI DONADUZZI	PANTOPRAZOL PRD	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	7.849.028	3	a
ACHE LABORATORIOS FARMACEUTICOS SA	PROVANCE IMUNE ACH	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	7.787.623	1	a
MERCK	GLIVANCE XR MER	NAO E MARCA PROPIA	A10J BIGUANIDA A DIABETICOS	.3.12.2.10.4	A10J2 BIGUANIDA E SULFONILOUREIA COMB A DIABETICOS	.3.12.2.10.4.2	7.729.688	2	a
NESTLE CIA	FIBER MAIS NES	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A3 INCREMENTADORES DO BOLO INTESTINAL	.3.12.2.6.1.3	7.706.309	2	a
MEDLEY	DOMPERIDONA MED	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	7.686.338	1	a
HYPERA PHARMA	TAMARINE HYP	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	7.643.245	6	a
PHARMASCIENCE	KAOSEC PHC	NAO E MARCA PROPIA	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6.1	7.533.793	3	a
TAKEDA PHARMA	TECTA TKD	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	7.436.735	2	a
RAIA DROGASIL SA	NEEDS RDF	MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A1 LAXANTES SUAVIZANTES	.3.12.2.6.1.1	7.332.590	2	a
BIOLAB	DOBLE BIO	NAO E MARCA PROPIA	A10K GLITAZONA A DIABETICOS	.3.12.2.10.5	A10K1 GLITAZONA SOLA	.3.12.2.10.5.1	7.286.611	3	a
RANBAXY	FOSF DE SITAGLIPTINA RAN	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N1 INIBIDOR DPP IV SOLO	.3.12.2.10.8.1	7.270.807	3	a
TAKEDA PHARMA	PANTOZOL TKD	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	7.220.012	4	a
JANSSEN	JANSSEN JNS	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	7.207.042	1	a
EUROFARMA	DOMPERIX EUR	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	7.186.473	2	a
HYPERA PHARMA	DIGEDRAT MAN	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	7.154.329	3	a
HEARST LABORATORIOS DO BRASIL LTDA	DORDENTE HEA	NAO E MARCA PROPIA	A01A ESTOMATOLOGICOS	.3.12.2.1.1	A01A ESTOMATOLOGICOS	.3.12.2.1.1.1	7.145.992	2	a
NESTLE CIA	PURAVIDA	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	7.122.768	11	a
FORTLIFE	SILIMARINA FRT	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	7.065.162	7	a
ARESE PHARMA LTDA.	INTOLIV ARE	NAO E MARCA PROPIA	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1.1	7.010.684	1	a
SUPERA	NIMEGON SPR	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N1 INIBIDOR DPP IV SOLO	.3.12.2.10.8.1	6.954.261	2	a
UNIAO QUIMICA	NEOCOPAN UNI	NAO E MARCA PROPIA	A03E OUTRAS ASSOCIACOES	.3.12.2.3.3	A03E OUTRAS ASSOCIACOES	.3.12.2.3.3.1	6.905.674	1	a
ACHE LABORATORIOS FARMACEUTICOS SA	LEVTY ACH	NAO E MARCA PROPIA	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1.1	6.823.283	2	a
ACHE LABORATORIOS FARMACEUTICOS SA	NAUTEX ACH	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A1 ANTAGONISTAS DA SEROTONINA	.3.12.2.4.1.1	6.809.890	4	a
ALTHAIA	VILDAGLIPTINA ALT	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N1 INIBIDOR DPP IV SOLO	.3.12.2.10.8.1	6.741.623	2	a
CIMED	RESSALIV CIM	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	6.726.224	1	a
OPELLA	GUTTALAX (OPE)	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A2 LAXANTES ESTIMULANTES	.3.12.2.6.1.2	6.703.295	2	a
CIFARMA	IMOLAC CIF	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A1 LAXANTES SUAVIZANTES	.3.12.2.6.1.1	6.587.777	1	a
HALEON	ENO HAL	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A1 LAXANTES SUAVIZANTES	.3.12.2.6.1.1	6.516.987	2	a
EMS PHARMA	LIRUX EMS	NAO E MARCA PROPIA	A10S AGONISTAS GLP 1	.3.12.2.10.10	A10S AGONISTAS GLP 1	.3.12.2.10.10.1	6.486.997	3	a
SANOFI FARMACEUTICA	DIGESAN SNF	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	6.425.899	4	a
HYPERA PHARMA	DOMPERIDONA NEO	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	6.402.568	2	a
EUROFARMA	GLIMEPIRIDA EUR	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	6.387.679	3	a
PHARLAB	GLICAZIDA PHA	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	6.320.928	1	a
EMS PHARMA	AGLITIL SGM	NAO E MARCA PROPIA	A10K GLITAZONA A DIABETICOS	.3.12.2.10.5	A10K1 GLITAZONA SOLA	.3.12.2.10.5.1	6.301.665	3	a
NATULAB	AFTLIV NAT	NAO E MARCA PROPIA	A01A ESTOMATOLOGICOS	.3.12.2.1.1	A01A ESTOMATOLOGICOS	.3.12.2.1.1.1	6.252.486	1	a
EMS PHARMA	ACETONIDA DE TRIANCINOLONA GER	NAO E MARCA PROPIA	A01A ESTOMATOLOGICOS	.3.12.2.1.1	A01A ESTOMATOLOGICOS	.3.12.2.1.1.1	6.238.766	1	a
ARESE PHARMA LTDA.	ENAX ARE	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	6.234.310	1	a
ARESE PHARMA LTDA.	LACASS ARE	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A2 LAXANTES ESTIMULANTES	.3.12.2.6.1.2	6.190.126	2	a
ACHE LABORATORIOS FARMACEUTICOS SA	PRETEN ACH	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	6.176.344	1	a
PRATI DONADUZZI	TRIANCINOLONA ACETONIDA PRD	NAO E MARCA PROPIA	A01A ESTOMATOLOGICOS	.3.12.2.1.1	A01A ESTOMATOLOGICOS	.3.12.2.1.1.1	6.155.441	1	a
CATARINENSE PHARMA	CAMOMILA CAT	NAO E MARCA PROPIA	A02X OUTROS PRODUTOS PARA DESORDENS DO ESTOMAGO	.3.12.2.2.4	A02X OUTROS PRODUTOS PARA DESORDENS DO ESTOMAGO	.3.12.2.2.4.1	6.155.292	1	a
ARESE PHARMA LTDA.	PRECOL ARE	NAO E MARCA PROPIA	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1.1	6.120.463	1	a
NATULAB	MAGMAX NAT	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	6.111.117	5	a
EUROFARMA	PANTOCAL EUR	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B1 ANTAGONISTAS H2	.3.12.2.2.2.1	6.033.235	2	a
HYPERA PHARMA	ATROVERAN HYP	NAO E MARCA PROPIA	A03D ASSOCIACOES COM ANALGESICOS	.3.12.2.3.2	A03D ASSOCIACOES COM ANALGESICOS	.3.12.2.3.2.1	6.004.187	6	a
SANOFI FARMACEUTICA	SOLIQUA SNF	NAO E MARCA PROPIA	A10C INSULINAS HUMANAS E ANALOGAS	.3.12.2.10.1	A10C9 OUTRAS INSULINAS HUMANAS E ANÃLOGOS	.3.12.2.10.1.5	5.999.702	2	a
BELFAR	PLABEL BEL	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	5.950.990	4	a
RAIA DROGASIL SA	NEEDS RDF	MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A2 ANTIFISETICOS PUROS	.3.12.2.2.1.2	5.941.419	3	a
AIRELA PHARMACEUTICA	SIMETICONA AIR	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A2 ANTIFISETICOS PUROS	.3.12.2.2.1.2	5.927.486	2	a
HALEON	ANDREWS HAL	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	5.912.506	7	a
EMS PHARMA	PRAZY LEG	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	5.724.956	2	a
MAXINUTRI	REHIDRALIN MAX	NAO E MARCA PROPIA	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5.1	5.689.462	5	a
UNIAO QUIMICA	DIGESTINA UNI	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	5.645.037	3	a
OSORIO DE MORAES	PILULAS DE ERVA DE BICHO COMPOSTAS IMESCARD OSO	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A2 LAXANTES ESTIMULANTES	.3.12.2.6.1.2	5.587.272	1	a
HYPERA PHARMA	GLICLAZIDA NEO	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	5.583.226	4	a
FERRING	PENTASA FER	NAO E MARCA PROPIA	A07E PRODUTOS PARA DOENCA INFLAMATORIA INTESTINAL	.3.12.2.7.3	A07E1 AMINOSALICILATOS INTESTINAIS	.3.12.2.7.3.1	5.572.674	5	a
PAGUE MENOS	BE BETTER	MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	5.517.286	3	a
EMS PHARMA	PIOTAZ GER	NAO E MARCA PROPIA	A10K GLITAZONA A DIABETICOS	.3.12.2.10.5	A10K1 GLITAZONA SOLA	.3.12.2.10.5.1	5.483.355	2	a
OPELLA	NOVALGINA (OPE)	NAO E MARCA PROPIA	A01A ESTOMATOLOGICOS	.3.12.2.1.1	A01A ESTOMATOLOGICOS	.3.12.2.1.1.1	5.397.279	1	a
EMS PHARMA	ESOMEPRAZOL GER	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B1 ANTAGONISTAS H2	.3.12.2.2.2.1	5.347.248	2	a
CELLERA FARMA	OSSOTRAT CEL	NAO E MARCA PROPIA	A11C VITAMINA A D INCLUINDO ASSOCIACOES DAS DUAS	.3.12.2.11.3	A11C2 VITAMINA D PURA	.3.12.2.11.3.2	5.282.231	1	a
EMS PHARMA	ONCILEG LEG	NAO E MARCA PROPIA	A01A ESTOMATOLOGICOS	.3.12.2.1.1	A01A ESTOMATOLOGICOS	.3.12.2.1.1.1	5.271.903	1	a
UNIAO QUIMICA	NAUSICALM UNI	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A1 ANTAGONISTAS DA SEROTONINA	.3.12.2.4.1.1	5.268.104	3	a
MOMENTA FARMA	BEMOVE MOM	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	5.256.362	1	a
EMS PHARMA	BROMOPRIDA GER	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	5.235.881	2	a
TEUTO	CLOR DE PIOGLITAZONA TEU	NAO E MARCA PROPIA	A10K GLITAZONA A DIABETICOS	.3.12.2.10.5	A10K1 GLITAZONA SOLA	.3.12.2.10.5.1	5.206.759	1	a
ZYDUS BRASIL	CARVEDILOL ZYD	NAO E MARCA PROPIA	A07E PRODUTOS PARA DOENCA INFLAMATORIA INTESTINAL	.3.12.2.7.3	A07E1 AMINOSALICILATOS INTESTINAIS	.3.12.2.7.3.1	5.128.589	1	a
EMS PHARMA	Por Defecto	NAO E MARCA PROPIA	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4	A07F MICROORGANISMOS ANTIDIARREICOS	.3.12.2.7.4.1	5.117.014	1	a
EMS PHARMA	DOMPERIDONA GER	NAO E MARCA PROPIA	A03F GASTROPROCINETICOS	.3.12.2.3.4	A03F GASTROPROCINETICOS	.3.12.2.3.4.1	5.115.257	2	a
SANDOZ	SITAGLIPTINA SDZ	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N1 INIBIDOR DPP IV SOLO	.3.12.2.10.8.1	5.113.140	4	a
SANOFI FARMACEUTICA	DULCOLAX SNF	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A4 ENEMAS	.3.12.2.6.1.4	5.074.695	1	a
PRATI DONADUZZI	SENSILATTE PRD	NAO E MARCA PROPIA	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1.1	5.060.423	6	a
AIRELA PHARMACEUTICA	MAGMILK AIR	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	4.951.548	3	a
SERVIER	DIATARCOM MR SER	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	4.935.546	1	a
UNIAO QUIMICA	FRUTAXX UNI	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	4.933.669	2	a
TORRENT	GLICAZIDA TOR	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	4.932.627	1	a
CIMED	MAGNAZIA CIM	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	4.922.120	3	a
HERTZ FARMACEUTICA	ENTEROFIGON KLE	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	4.910.905	6	a
LABORATORIO GLOBO	PIOGLITAZONA GLO	NAO E MARCA PROPIA	A10K GLITAZONA A DIABETICOS	.3.12.2.10.5	A10K1 GLITAZONA SOLA	.3.12.2.10.5.1	4.895.538	3	a
OUTRO FABRICANTE	LACTUGOLD	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A6 LAXANTES OSMOTICOS	.3.12.2.6.1.5	4.845.506	2	a
HYPERA PHARMA	CLOR DE ONDANSETRONA NEO	NAO E MARCA PROPIA	A04A ANTIEMETICOS E ANTINAUSEOSOS	.3.12.2.4.1	A04A1 ANTAGONISTAS DA SEROTONINA	.3.12.2.4.1.1	4.836.627	4	a
CIMED	DIMETIGASS CIM	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A2 ANTIFISETICOS PUROS	.3.12.2.2.1.2	4.735.958	2	a
ASTRAZENECA	ONGLYZA AZN	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N1 INIBIDOR DPP IV SOLO	.3.12.2.10.8.1	4.719.611	3	a
GEOLAB	OMENAX GEO	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	4.716.671	3	a
LABORATORIO GLOBO	SIMETICONA GLO	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A2 ANTIFISETICOS PUROS	.3.12.2.2.1.2	4.707.778	3	a
EUROFARMA	DOZI EUR	NAO E MARCA PROPIA	A11F VITAMINAS B12 PURA	.3.12.2.11.6	A11F VITAMINAS B12 PURA	.3.12.2.11.6.1	4.690.832	1	a
HYPERA PHARMA	LINAGLIPTINA NEO	NAO E MARCA PROPIA	A10N INIBIDOR DPP IV	.3.12.2.10.8	A10N1 INIBIDOR DPP IV SOLO	.3.12.2.10.8.1	4.680.943	1	a
MAXINUTRI	DESLAC MAX	NAO E MARCA PROPIA	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1	A09A DIGESTIVOS INCLUIDO ENZIMAS	.3.12.2.9.1.1	4.679.846	3	a
BALDACCI	METADOXIL BAL	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	4.656.089	1	a
EMS PHARMA	CLOR DE PIOGLITAZONA NVQ	NAO E MARCA PROPIA	A10K GLITAZONA A DIABETICOS	.3.12.2.10.5	A10K1 GLITAZONA SOLA	.3.12.2.10.5.1	4.644.658	2	a
MYRALIS PHARMA	PIOMI MYR	NAO E MARCA PROPIA	A10K GLITAZONA A DIABETICOS	.3.12.2.10.5	A10K1 GLITAZONA SOLA	.3.12.2.10.5.1	4.618.557	2	a
GEOLAB	LANZOPEPT GEO	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	4.588.241	2	a
AIRELA PHARMACEUTICA	FLEXENEMA AIR	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A4 ENEMAS	.3.12.2.6.1.4	4.543.455	1	a
EMS PHARMA	ESOMEPRAZOL LEG	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	4.500.852	4	a
NATULAB	LENEMA NAT	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A4 ENEMAS	.3.12.2.6.1.4	4.473.803	1	a
SANDOZ	DIASEC SDZ	NAO E MARCA PROPIA	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6	A07H INIBIDORES DA MOTILIDADE	.3.12.2.7.6.1	4.448.521	3	a
MEDQUIMICA	GLIBENCLAMIDA MDQ	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	4.419.288	1	a
ACHE LABORATORIOS FARMACEUTICOS SA	PROHN ACH	NAO E MARCA PROPIA	A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB	.3.12.2.16.1	A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB	.3.12.2.16.1.1	4.385.069	2	a
ACHE LABORATORIOS FARMACEUTICOS SA	CLOR DE SIBUTRAMINA BIO	NAO E MARCA PROPIA	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1	A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1.1	4.371.411	1	a
PAGUE MENOS	DAUF PAG	MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A1 LAXANTES SUAVIZANTES	.3.12.2.6.1.1	4.364.370	2	a
EMS PHARMA	AGLUCOSE BRA	NAO E MARCA PROPIA	A10L INIB ALFA GLUCOSIDAS	.3.12.2.10.6	A10L INIB ALFA GLUCOSIDAS	.3.12.2.10.6.1	4.345.619	2	a
