fabricante	Marca	Algoritmo Marca Propia	Est Mer 6 Descripcion	EST_MER_6_CODIGO	Est Mer 7 Descripcion	Est Mer Codigo	Imp venta últ 24 meses	Qtd Sku	
MACROPHYTUS	FITOESBELT MAC	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	31.759	1	a
SIN PROVEEDOR ASOCIADO	FIGACLER	NAO E MARCA PROPIA	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5.1	31.672	1	a
MERCK	FLORALYTE MER	NAO E MARCA PROPIA	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5	A07G REPOSITORES ELECTROLITICOS ORAIS	.3.12.2.7.5.1	31.486	8	a
UNILIFE	UNILIFE UNL	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C1 MAGNESIO	.3.12.2.12.3.1	31.346	1	a
PREVENT PHARMA	PREVENT	NAO E MARCA PROPIA	A11G VITAMINA C INCLUSIVE ASSOCIADA A MINERAIS	.3.12.2.11.7	A11G1 VITAMINA C PURA	.3.12.2.11.7.1	31.299	1	a
HEPANEW	HEPANEW	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	31.279	1	a
TEUTO	CLOR DE SIBUTRAMINA TEU	NAO E MARCA PROPIA	A08A - PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1	A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS	.3.12.2.8.1.1	30.822	1	a
FORHELTH NUTRICIONAL EIRELI	ULTRASUPRY	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C1 MAGNESIO	.3.12.2.12.3.1	30.738	1	a
NUTRI VITALEY	NUTRI VITALEY	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	30.555	1	a
METALAB	EPATINON MET	NAO E MARCA PROPIA	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2	A05B PRODUTOS PARA DOENCAS DO FIGADO HEPATOPROTETORES	.3.12.2.5.2.1	30.408	1	a
LAB DAUDT OLIVEIRA	MALVATRIKIDS DDT	NAO E MARCA PROPIA	A01A ESTOMATOLOGICOS	.3.12.2.1.1	A01A ESTOMATOLOGICOS	.3.12.2.1.1.1	30.334	1	a
ACHE LABORATORIOS FARMACEUTICOS SA	FLAGASS ACH	NAO E MARCA PROPIA	A03E OUTRAS ASSOCIACOES	.3.12.2.3.3	A03E OUTRAS ASSOCIACOES	.3.12.2.3.3.1	30.247	1	a
ASPEN	INSUNORM ASP	NAO E MARCA PROPIA	A10C INSULINAS HUMANAS E ANALOGAS	.3.12.2.10.1	A10C1 INSULINAS HUMANAS E ANALOGAS DE ACAO RAPIDA	.3.12.2.10.1.1	30.243	1	a
BIOLAB	CLOR DE PIOGLITAZONA BIO	NAO E MARCA PROPIA	A10K GLITAZONA A DIABETICOS	.3.12.2.10.5	A10K1 GLITAZONA SOLA	.3.12.2.10.5.1	29.729	1	a
LABORATORIO GLOBO	ACIDOGEL GLO	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	29.665	1	a
NATUS FARMA	OTTIMA VITTA	NAO E MARCA PROPIA	A11F VITAMINAS B12 PURA	.3.12.2.11.6	A11F VITAMINAS B12 PURA	.3.12.2.11.6.1	29.248	2	a
CIFARMA	CALCIFIX COMPOSTO B12	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	28.975	1	a
EMS PHARMA	LINADIB EMS	NAO E MARCA PROPIA	A10C INSULINAS HUMANAS E ANALOGAS	.3.12.2.10.1	A10C1 INSULINAS HUMANAS E ANALOGAS DE ACAO RAPIDA	.3.12.2.10.1.1	28.215	1	a
EMS PHARMA	METFORMINA MUL	NAO E MARCA PROPIA	A10J BIGUANIDA A DIABETICOS	.3.12.2.10.4	A10J1 BIGUANIDA SOLA A DIABETICOS	.3.12.2.10.4.1	28.154	3	a
SIN PROVEEDOR ASOCIADO	OITO ERVAS	NAO E MARCA PROPIA	A11A POLIVITAMINICOS COM MINERAIS	.3.12.2.11.1	A11A4 OUTROS POLIVIT COM MINERAIS	.3.12.2.11.1.4	27.969	1	a
NUTRAFOL	NUTRAFOL	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	27.580	1	a
BIOROOTS	BIOROOTS BTS	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C1 MAGNESIO	.3.12.2.12.3.1	27.514	1	a
SIN PROVEEDOR ASOCIADO	CALCITABS 600+M	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	27.447	1	a
CIFARMA	GLICARON CIF	NAO E MARCA PROPIA	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3	A10H SULFONILOUREIA A DIABETICOS	.3.12.2.10.3.1	27.403	1	a
OUTRO FABRICANTE	BOMVITAM	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C1 MAGNESIO	.3.12.2.12.3.1	27.368	1	a
AF2 INDUSTRIA FARMACEUTIA LTDA	TRIUNLIFE	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C1 MAGNESIO	.3.12.2.12.3.1	27.261	1	a
FASHION COSMETICOS	FASHION FAS	NAO E MARCA PROPIA	A02A ANTIACIDOS ANTIFISETICOS	.3.12.2.2.1	A02A1 ANTIACIDOS PUROS	.3.12.2.2.1.1	27.027	1	a
FARMAX CIA	FARMAX FAM	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A4 ENEMAS	.3.12.2.6.1.4	26.649	1	a
PROWIN	PROWIN PWN	NAO E MARCA PROPIA	A11X OUTRAS VITAMINAS PURAS	.3.12.2.11.8	A11X9 TODAS OUTRAS VITAMINAS PURAS E COMBINACOES	.3.12.2.11.8.3	26.541	1	a
PREVENT PHARMA	BIOENERGIN	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	26.507	1	a
OUTRO FABRICANTE	PURE ESSENCE	NAO E MARCA PROPIA	A11C VITAMINA A D INCLUINDO ASSOCIACOES DAS DUAS	.3.12.2.11.3	A11C2 VITAMINA D PURA	.3.12.2.11.3.2	26.493	1	a
HIPOLABOR	BUT DE ESCOPOLAMINA DIPIRONA MONOIDRATADA HIP	NAO E MARCA PROPIA	A03D ASSOCIACOES COM ANALGESICOS	.3.12.2.3.2	A03D ASSOCIACOES COM ANALGESICOS	.3.12.2.3.2.1	26.224	1	a
EMBRAS FLORA	LIPO MAGRIN	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	26.190	1	a
ALTHAIA	EQUALIV ALT	NAO E MARCA PROPIA	A11C VITAMINA A D INCLUINDO ASSOCIACOES DAS DUAS	.3.12.2.11.3	A11C2 VITAMINA D PURA	.3.12.2.11.3.2	26.097	3	a
PRATI DONADUZZI	VIGORA PRD	NAO E MARCA PROPIA	A12C OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3	A12C2 OUTROS SUPLEMENTOS MINERAIS	.3.12.2.12.3.2	25.866	1	a
ETICOS	LIPOLESS	NAO E MARCA PROPIA	A10S AGONISTAS GLP 1	.3.12.2.10.10	A10S AGONISTAS GLP 1	.3.12.2.10.10.1	25.750	2	a
SIN PROVEEDOR ASOCIADO	VITAVANT	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	25.365	1	a
VITAMEDIC	RESSAQUE VMD	NAO E MARCA PROPIA	A02X OUTROS PRODUTOS PARA DESORDENS DO ESTOMAGO	.3.12.2.2.4	A02X OUTROS PRODUTOS PARA DESORDENS DO ESTOMAGO	.3.12.2.2.4.1	25.243	1	a
ACHE LABORATORIOS FARMACEUTICOS SA	OMEPRAZOL ACH	NAO E MARCA PROPIA	A02B ANTIULCEROSOS	.3.12.2.2.2	A02B2 INIBIDORES DA BOMBA DE PROTONS	.3.12.2.2.2.2	25.231	2	a
SIN PROVEEDOR ASOCIADO	GOODLIFE	NAO E MARCA PROPIA	A12A CALCIO	.3.12.2.12.1	A12A CALCIO	.3.12.2.12.1.1	24.997	1	a
UNIAO QUIMICA	CRONOPLEX UNI	NAO E MARCA PROPIA	A06A DROGAS PARA A CONSTIPACAO	.3.12.2.6.1	A06A4 ENEMAS	.3.12.2.6.1.4	24.886	1	a
