PRINCIPIO ATIVO;"TERMOS (todos precisam aparecer; | = sinonimo)";CATEGORIA;NOME OFICIAL DA CATEGORIA;BASE PEDE VALIDAR;DESTINO CORRIGIDO;OUTRAS CATEGORIAS NA BASE
Rizatriptana;RIZATRIPTANA;AGONISTAS SELETIVOS DE SEROTONINA ANTIMIGRAINAS;N02C1 AGONISTAS SELETIVOS DE SEROTONINA ANTIMIGRAINAS;SIM;;
Sumatriptana;SUMATRIPTANA;AGONISTAS SELETIVOS DE SEROTONINA ANTIMIGRAINAS;N02C1 AGONISTAS SELETIVOS DE SEROTONINA ANTIMIGRAINAS;SIM;;
Zolmitriptana;ZOLMITRIPTANA;AGONISTAS SELETIVOS DE SEROTONINA ANTIMIGRAINAS;N02C1 AGONISTAS SELETIVOS DE SEROTONINA ANTIMIGRAINAS;SIM;;
Bromocriptina;BROMOCRIPTINA;ANTIPARKINSONIANOS;N04A ANTIPARKINSONIANOS;;;
Pramipexol;PRAMIPEXOL;ANTIPARKINSONIANOS;N04A ANTIPARKINSONIANOS;;;
Ropinirol;ROPINIROL;ANTIPARKINSONIANOS;N04A ANTIPARKINSONIANOS;;;
Rotigotina;ROTIGOTINA;ANTIPARKINSONIANOS;N04A ANTIPARKINSONIANOS;;;
Biperideno;BIPERIDENO;ANTIPARKINSONIANOS;N04A ANTIPARKINSONIANOS;;;
Triexifenidil;TRIEXIFENIDIL;ANTIPARKINSONIANOS;N04A ANTIPARKINSONIANOS;;;
Entacapona;ENTACAPONA;ANTIPARKINSONIANOS;N04A ANTIPARKINSONIANOS;;;
Tolcapona;TOLCAPONA;ANTIPARKINSONIANOS;N04A ANTIPARKINSONIANOS;;;
Rasagilina;RASAGILINA;ANTIPARKINSONIANOS;N04A ANTIPARKINSONIANOS;;;
Selegilina;SELEGILINA;ANTIPARKINSONIANOS;N04A ANTIPARKINSONIANOS;;;
Levodopa (associada a Carbidopa ou Benserazida);LEVODOPA;ANTIPARKINSONIANOS;N04A ANTIPARKINSONIANOS;;;
Aripiprazol;ARIPIPRAZOL;ANTIPSICOTICOS ATIPICOS;N05A1 ANTIPSICOTICOS ATIPICOS;;;
Clozapina;CLOZAPINA;ANTIPSICOTICOS ATIPICOS;N05A1 ANTIPSICOTICOS ATIPICOS;;;
Olanzapina;OLANZAPINA;ANTIPSICOTICOS ATIPICOS;N05A1 ANTIPSICOTICOS ATIPICOS;;;
Paliperidona;PALIPERIDONA;ANTIPSICOTICOS ATIPICOS;N05A1 ANTIPSICOTICOS ATIPICOS;;;
Quetiapina;QUETIAPINA;ANTIPSICOTICOS ATIPICOS;N05A1 ANTIPSICOTICOS ATIPICOS;;;
Risperidona;RISPERIDONA;ANTIPSICOTICOS ATIPICOS;N05A1 ANTIPSICOTICOS ATIPICOS;;;
Ziprasidona;ZIPRASIDONA;ANTIPSICOTICOS ATIPICOS;N05A1 ANTIPSICOTICOS ATIPICOS;;;
Clorpromazina;CLORPROMAZINA;ANTIPSICOTICOS ATIPICOS;N05A1 ANTIPSICOTICOS ATIPICOS;;;
Flufenazina;FLUFENAZINA;ANTIPSICOTICOS ATIPICOS;N05A1 ANTIPSICOTICOS ATIPICOS;;;
Haloperidol;HALOPERIDOL;ANTIPSICOTICOS ATIPICOS;N05A1 ANTIPSICOTICOS ATIPICOS;;;
Levomepromazina;LEVOMEPROMAZINA;ANTIPSICOTICOS ATIPICOS;N05A1 ANTIPSICOTICOS ATIPICOS;;;
Dimenidrinato;DIMENIDRINATO;OUTROS MEDICAMENTOS ANTIVERTIGINOSOS;N07C OUTROS MEDICAMENTOS ANTIVERTIGINOSOS;SIM;;
Escopolamina;ESCOPOLAMINA;OUTROS MEDICAMENTOS ANTIVERTIGINOSOS;N07C OUTROS MEDICAMENTOS ANTIVERTIGINOSOS;SIM;;
Meclizina;MECLIZINA;OUTROS MEDICAMENTOS ANTIVERTIGINOSOS;N07C OUTROS MEDICAMENTOS ANTIVERTIGINOSOS;SIM;;
Succinilcolina;SUCCINILCOLINA;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;SIM;;
Atracúrio;ATRACURIO;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;SIM;;
Cisatracúrio;CISATRACURIO;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;SIM;;
Rocurônio;ROCURONIO;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;SIM;;
Vecurônio;VECURONIO;ANESTESICOS INALANTES;N01A1 ANESTESICOS INALANTES;SIM;;
Carbonato de lítio;CARBONATO DE LITIO;REGULADOR DE HUMOR;N06A3 REGULADOR DE HUMOR;SIM;;
Anfetaminas (Lisdexanfetamina);ANFETAMINAS|LISDEXANFETAMINA;PSICOESTIMULANTES;N06B PSICOESTIMULANTES;;SIM;"ESTIMULANTES DO APETITE; ESTIMULANTES DO APETITE"
Metilfenidato;METILFENIDATO;ESTIMULANTES DO APETITE;A15A ESTIMULANTES DO APETITE;;;
Melatonina;MELATONINA;NAO BARBITURICOS PUROS;N05B1 NAO BARBITURICOS PUROS;SIM;;
Ramelteon;RAMELTEON;NAO BARBITURICOS PUROS;N05B1 NAO BARBITURICOS PUROS;SIM;;
Eszopiclona;ESZOPICLONA;NAO BARBITURICOS PUROS;N05B1 NAO BARBITURICOS PUROS;SIM;;
Zolpidem;ZOLPIDEM;NAO BARBITURICOS PUROS;N05B1 NAO BARBITURICOS PUROS;SIM;;
Zopiclona;ZOPICLONA;NAO BARBITURICOS PUROS;N05B1 NAO BARBITURICOS PUROS;SIM;;
