PRINCIPIO ATIVO;"TERMOS (todos precisam aparecer; | = sinonimo)";CATEGORIA;NOME OFICIAL DA CATEGORIA;BASE PEDE VALIDAR;DESTINO CORRIGIDO;OUTRAS CATEGORIAS NA BASE
Insulina Detemir;INSULINA DETEMIR;INSULINAS HUMANAS+ANALOGAS ACAO INTERMEDIA;A10C2 INSULINAS HUMANAS+ANALOGAS ACAO INTERMEDIA;;;
Insulina Glargina;INSULINA GLARGINA;INSULINAS HUMANAS+ANALOGAS ACAO INTERMEDIA;A10C2 INSULINAS HUMANAS+ANALOGAS ACAO INTERMEDIA;;;
Insulina NPH;INSULINA NPH;INSULINAS HUMANAS+ANALOGAS ACAO INTERMEDIA;A10C2 INSULINAS HUMANAS+ANALOGAS ACAO INTERMEDIA;;;
Insulina Asparte;INSULINA ASPARTE;INSULINAS HUMANAS E ANALOGAS DE ACAO RAPIDA;A10C1 INSULINAS HUMANAS E ANALOGAS DE ACAO RAPIDA;SIM;;
Insulina Glulisina;INSULINA GLULISINA;INSULINAS HUMANAS E ANALOGAS DE ACAO RAPIDA;A10C1 INSULINAS HUMANAS E ANALOGAS DE ACAO RAPIDA;SIM;;
Insulina Lispro;INSULINA LISPRO;INSULINAS HUMANAS E ANALOGAS DE ACAO RAPIDA;A10C1 INSULINAS HUMANAS E ANALOGAS DE ACAO RAPIDA;SIM;;
Insulina Regular;INSULINA REGULAR;INSULINAS HUMANAS E ANALOGAS DE ACAO RAPIDA;A10C1 INSULINAS HUMANAS E ANALOGAS DE ACAO RAPIDA;SIM;;
Orlistate;ORLISTATE;PREPARADOS ANOREXICOS EXETO OS DIETETICOS;A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS;SIM;;
Sibutramina;SIBUTRAMINA;PREPARADOS ANOREXICOS EXETO OS DIETETICOS;A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS;SIM;;
Tirzepatida;TIRZEPATIDA;PREPARADOS ANOREXICOS EXETO OS DIETETICOS;A08A PREPARADOS ANOREXICOS EXETO OS DIETETICOS;SIM;;
Denosumabe;DENOSUMABE;OUTROS REGULADORES DO CALCIO OSSEO;M05B9 OUTROS REGULADORES DO CALCIO OSSEO;SIM;;
Romosozumabe;ROMOSOZUMABE;OUTROS REGULADORES DO CALCIO OSSEO;M05B9 OUTROS REGULADORES DO CALCIO OSSEO;SIM;;
Alendronato;ALENDRONATO;BIFOSFONATOS PARA DESORDENES DE OESTEOPOROSES;M05B3 BIFOSFONATOS PARA DESORDENES DE OESTEOPOROSES;SIM;;
Ibandronato;IBANDRONATO;BIFOSFONATOS PARA DESORDENES DE OESTEOPOROSES;M05B3 BIFOSFONATOS PARA DESORDENES DE OESTEOPOROSES;SIM;;
Risedronato;RISEDRONATO;BIFOSFONATOS PARA DESORDENES DE OESTEOPOROSES;M05B3 BIFOSFONATOS PARA DESORDENES DE OESTEOPOROSES;SIM;;
Ácido zoledrônico;ACIDO ZOLEDRONICO;BIFOSFONATOS PARA DESORDENES DE OESTEOPOROSES;M05B3 BIFOSFONATOS PARA DESORDENES DE OESTEOPOROSES;SIM;;
Raloxifeno;RALOXIFENO;MODULAD SELETIVOS DOS RECEPT DO ESTROGENIO;G03J MODULAD SELETIVOS DOS RECEPT DO ESTROGENIO;;;
Racecadotrila;RACECADOTRILA;MICROORGANISMOS ANTIDIARREICOS;A07F MICROORGANISMOS ANTIDIARREICOS;SIM;;
Saccharomyces boulardii;SACCHAROMYCES BOULARDII;MICROORGANISMOS ANTIDIARREICOS;A07F MICROORGANISMOS ANTIDIARREICOS;SIM;;
Loperamida;LOPERAMIDA;ADSORBENTES INTESTINALES ANTIDIARREICOS;A07B ADSORBENTES INTESTINALES ANTIDIARREICOS;;;
Granisetrona;GRANISETRONA;ANTAGONISTAS DA SEROTONINA;A04A1 ANTAGONISTAS DA SEROTONINA;;;
Ondansetrona;ONDANSETRONA;ANTAGONISTAS DA SEROTONINA;A04A1 ANTAGONISTAS DA SEROTONINA;;;
Palonosetrona;PALONOSETRONA;ANTAGONISTAS DA SEROTONINA;A04A1 ANTAGONISTAS DA SEROTONINA;;;
Aprepitanto;APREPITANTO;ANTAGONISTAS DA SEROTONINA;A04A1 ANTAGONISTAS DA SEROTONINA;;;
Fosaprepitanto;FOSAPREPITANTO;ANTAGONISTAS DA SEROTONINA;A04A1 ANTAGONISTAS DA SEROTONINA;;;
Bromoprida;BROMOPRIDA;ANTAGONISTAS DA SEROTONINA;A04A1 ANTAGONISTAS DA SEROTONINA;;;
Domperidona;DOMPERIDONA;ANTAGONISTAS DA SEROTONINA;A04A1 ANTAGONISTAS DA SEROTONINA;;;
Metoclopramida;METOCLOPRAMIDA;ANTAGONISTAS DA SEROTONINA;A04A1 ANTAGONISTAS DA SEROTONINA;;;
Butilbrometo de escopolamina;BUTILBROMETO DE ESCOPOLAMINA;ANTIESPASMODICOS E ANTICOLINERGICOS PUROS;A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS;;;
Hioscina (Escopolamina);HIOSCINA|ESCOPOLAMINA;ANTIESPASMODICOS E ANTICOLINERGICOS PUROS;A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS;;;
Mebeverina;MEBEVERINA;ANTIESPASMODICOS E ANTICOLINERGICOS PUROS;A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS;;;
Pinaverio;PINAVERIO;ANTIESPASMODICOS E ANTICOLINERGICOS PUROS;A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS;;;
Cimetidina;CIMETIDINA;ANTAGONISTAS H2;A02B1 ANTAGONISTAS H2;;;
Famotidina;FAMOTIDINA;ANTAGONISTAS H2;A02B1 ANTAGONISTAS H2;;;
Ranitidina;RANITIDINA;ANTAGONISTAS H2;A02B1 ANTAGONISTAS H2;;;
Bicarbonato de sódio;BICARBONATO DE SODIO;ANTIACIDOS PUROS;A02A1 ANTIACIDOS PUROS;SIM;;
Hidróxido de alumínio;HIDROXIDO DE ALUMINIO;ANTIACIDOS PUROS;A02A1 ANTIACIDOS PUROS;SIM;;
Hidróxido de magnésio;HIDROXIDO DE MAGNESIO;LAXANTES OSMOTICOS;A06A6 LAXANTES OSMOTICOS;SIM;;ANTIACIDOS PUROS
Esomeprazol;ESOMEPRAZOL;INIBIDORES DA BOMBA DE PROTONS;A02B2 INIBIDORES DA BOMBA DE PROTONS;;;
Lansoprazol;LANSOPRAZOL;INIBIDORES DA BOMBA DE PROTONS;A02B2 INIBIDORES DA BOMBA DE PROTONS;;;
Omeprazol;OMEPRAZOL;INIBIDORES DA BOMBA DE PROTONS;A02B2 INIBIDORES DA BOMBA DE PROTONS;;;
Pantoprazol;PANTOPRAZOL;INIBIDORES DA BOMBA DE PROTONS;A02B2 INIBIDORES DA BOMBA DE PROTONS;;;
Rabeprazol;RABEPRAZOL;INIBIDORES DA BOMBA DE PROTONS;A02B2 INIBIDORES DA BOMBA DE PROTONS;;;
Misoprostol;MISOPROSTOL;TODOS OS OUTROS ANTIULCEROSOS;A02B9 TODOS OS OUTROS ANTIULCEROSOS;SIM;;
Sucralfato;SUCRALFATO;TODOS OS OUTROS ANTIULCEROSOS;A02B9 TODOS OS OUTROS ANTIULCEROSOS;SIM;;
Mesalazina;MESALAZINA;AMINOSALICILATOS INTESTINAIS;A07E1 AMINOSALICILATOS INTESTINAIS;;;
Sulfassalazina;SULFASSALAZINA;AMINOSALICILATOS INTESTINAIS;A07E1 AMINOSALICILATOS INTESTINAIS;;;ANTIPSICOTICOS CONVENCIONAIS
Azatioprina;AZATIOPRINA;OUTROS PRODUTOS PARA DOENCA INFLAMATORIA INTESTINA;A07E9 OUTROS PRODUTOS PARA DOENCA INFLAMATORIA INTESTINA;;;ANTIMETABOLITOS
Infliximabe;INFLIXIMABE;MEDICAMENTOS ANTI TNF;L04B MEDICAMENTOS ANTI TNF;SIM;;OUTROS PRODUTOS PARA DOENCA INFLAMATORIA INTESTINA
Vedolizumabe;VEDOLIZUMABE;OUTROS PRODUTOS PARA DOENCA INFLAMATORIA INTESTINA;A07E9 OUTROS PRODUTOS PARA DOENCA INFLAMATORIA INTESTINA;;;
Pancreatina;PANCREATINA;DIGESTIVOS INCLUIDO ENZIMAS;A09A DIGESTIVOS INCLUIDO ENZIMAS;SIM;;
Pancrelipase;PANCRELIPASE;DIGESTIVOS INCLUIDO ENZIMAS;A09A DIGESTIVOS INCLUIDO ENZIMAS;SIM;;
Docusato de sódio;DOCUSATO DE SODIO;LAXANTES SUAVIZANTES;A06A1 LAXANTES SUAVIZANTES;SIM;;
Óleo mineral;OLEO MINERAL;LAXANTES SUAVIZANTES;A06A1 LAXANTES SUAVIZANTES;SIM;;
Bisacodil;BISACODIL;LAXANTES ESTIMULANTES;A06A2 LAXANTES ESTIMULANTES;;;
Picossulfato de sódio;PICOSSULFATO DE SODIO;LAXANTES ESTIMULANTES;A06A2 LAXANTES ESTIMULANTES;;;
Senna;SENNA;LAXANTES ESTIMULANTES;A06A2 LAXANTES ESTIMULANTES;;;
Metilcelulose;METILCELULOSE;INCREMENTADORES DO BOLO INTESTINAL;A06A3 INCREMENTADORES DO BOLO INTESTINAL;SIM;;
Psyllium;PSYLLIUM;INCREMENTADORES DO BOLO INTESTINAL;A06A3 INCREMENTADORES DO BOLO INTESTINAL;SIM;;
Lactulose;LACTULOSE;LAXANTES OSMOTICOS;A06A6 LAXANTES OSMOTICOS;;;
Polietilenoglicol (macrogol);POLIETILENOGLICOL|MACROGOL;LAXANTES OSMOTICOS;A06A6 LAXANTES OSMOTICOS;;;
Darbepoetina alfa;DARBEPOETINA ALFA;ERITROPOIETINAS;B03C ERITROPOIETINAS;SIM;;
Epoetina alfa;EPOETINA ALFA;ERITROPOIETINAS;B03C ERITROPOIETINAS;SIM;;
Ferro polimaltosado;FERRO POLIMALTOSADO;FERRO PURO;B03A1 FERRO PURO;SIM;;
Sacarato de hidróxido férrico;SACARATO DE HIDROXIDO FERRICO;FERRO PURO;B03A1 FERRO PURO;SIM;;
Sulfato ferroso;SULFATO FERROSO;FERRO PURO;B03A1 FERRO PURO;SIM;;
Vitamina B12 (Cianocobalamina);VITAMINA B12|CIANOCOBALAMINA;VITAMINAS B12 PURA;A11F VITAMINAS B12 PURA;;;
Ácido fólico;ACIDO FOLICO;OUTROS ANTIANEMICOS INCLUINDO ACIDO FOLICO E FOLIN;B03X OUTROS ANTIANEMICOS INCLUINDO ACIDO FOLICO E FOLIN;SIM;;COMPLEXO B PURO
Filgrastim;FILGRASTIM;FATOR ESTIMULANTE DE COLONIAS;L03A1 FATOR ESTIMULANTE DE COLONIAS;SIM;;
Pegfilgrastim;PEGFILGRASTIM;FATOR ESTIMULANTE DE COLONIAS;L03A1 FATOR ESTIMULANTE DE COLONIAS;SIM;;
Vitamina K (Fitomenadiona);VITAMINA K|FITOMENADIONA;VITAMINA K;B02B1 VITAMINA K;;SIM;"VITAMINA B1; VITAMINA B1"
Ácido aminocaproico;ACIDO AMINOCAPROICO;ANTIFIBRINOLITICOS SINTETICOS;B02A1 ANTIFIBRINOLITICOS SINTETICOS;SIM;;
Ácido tranexâmico;ACIDO TRANEXAMICO;ANTIFIBRINOLITICOS SINTETICOS;B02A1 ANTIFIBRINOLITICOS SINTETICOS;SIM;;
Imunoglobulina anti-Rh (D);IMUNOGLOBULINA ANTI RH;IMUNO GLOBULINAS POLIVALENTES ENDOVENOSAS;J06C IMUNO GLOBULINAS POLIVALENTES ENDOVENOSAS;SIM;;
Imunoglobulina humana normal (IVIG);IMUNOGLOBULINA HUMANA NORMAL;IMUNO GLOBULINAS POLIVALENTES ENDOVENOSAS;J06C IMUNO GLOBULINAS POLIVALENTES ENDOVENOSAS;SIM;;
Soro antiofídico;SORO ANTIOFIDICO;IMUNO GLOBULINAS POLIVALENTES ENDOVENOSAS;J06C IMUNO GLOBULINAS POLIVALENTES ENDOVENOSAS;SIM;;
Vacina DTP (Difteria-Tétano-Pertussis);VACINA DTP;VACINA PNEUMOCOCO;J07D1 VACINA PNEUMOCOCO;;;
Vacina Meningocócica;VACINA MENINGOCOCICA;VACINA PNEUMOCOCO;J07D1 VACINA PNEUMOCOCO;;;
Vacina Pneumocócica;VACINA PNEUMOCOCICA;VACINA PNEUMOCOCO;J07D1 VACINA PNEUMOCOCO;;;
Vacina COVID-19 (mRNA/vetor viral);VACINA COVID 19;VACINA INFLUENZA;J07E1 VACINA INFLUENZA;SIM;;
Vacina Febre Amarela;VACINA FEBRE AMARELA;VACINA INFLUENZA;J07E1 VACINA INFLUENZA;SIM;;
Vacina Influenza;VACINA INFLUENZA;VACINA INFLUENZA;J07E1 VACINA INFLUENZA;;;
Vacina Sarampo-Caxumba-Rubéola (SCR);VACINA SARAMPO CAXUMBA RUBEOLA;VACINA INFLUENZA;J07E1 VACINA INFLUENZA;SIM;;
Certolizumabe;CERTOLIZUMABE;MEDICAMENTOS ANTI TNF;L04B MEDICAMENTOS ANTI TNF;SIM;;
Etanercepte;ETANERCEPTE;MEDICAMENTOS ANTI TNF;L04B MEDICAMENTOS ANTI TNF;SIM;;
Golimumabe;GOLIMUMABE;MEDICAMENTOS ANTI TNF;L04B MEDICAMENTOS ANTI TNF;SIM;;
Anacinra (IL-1);ANACINRA;INIBIDORES DE INTERLEUCINA;L04C INIBIDORES DE INTERLEUCINA;SIM;;
Tocilizumabe (IL-6);TOCILIZUMABE;INIBIDORES DE INTERLEUCINA;L04C INIBIDORES DE INTERLEUCINA;SIM;;
Hidroxicloroquina;HIDROXICLOROQUINA;ANTIPSICOTICOS CONVENCIONAIS;N05A9 ANTIPSICOTICOS CONVENCIONAIS;;;
Leflunomida;LEFLUNOMIDA;ANTIPSICOTICOS CONVENCIONAIS;N05A9 ANTIPSICOTICOS CONVENCIONAIS;;;
Metotrexato;METOTREXATO;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;;;ANTIPSICOTICOS CONVENCIONAIS
Baricitinibe;BARICITINIBE;INIBIDORES DE JAK;L04D INIBIDORES DE JAK;;;
Tofacitinibe;TOFACITINIBE;INIBIDORES DE JAK;L04D INIBIDORES DE JAK;;;
Upadacitinibe;UPADACITINIBE;INIBIDORES DE JAK;L04D INIBIDORES DE JAK;;;
Micofenolato de mofetila;MICOFENOLATO DE MOFETILA;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;;;
Ciclosporina;CICLOSPORINA;INIBIDORES DE INTERLEUCINA;L04C INIBIDORES DE INTERLEUCINA;;;
Tacrolimo;TACROLIMO;INIBIDORES DE INTERLEUCINA;L04C INIBIDORES DE INTERLEUCINA;;;
Everolimo;EVEROLIMO;INIBIDORES DE JAK;L04D INIBIDORES DE JAK;;;
Sirolimo;SIROLIMO;INIBIDORES DE JAK;L04D INIBIDORES DE JAK;;;
Aflibercepte;AFLIBERCEPTE;PRODS P ANTI NEOVASCULARIZACAO OCULAR;S01P PRODS P ANTI NEOVASCULARIZACAO OCULAR;SIM;;
Bevacizumabe (off-label);BEVACIZUMABE;PRODS P ANTI NEOVASCULARIZACAO OCULAR;S01P PRODS P ANTI NEOVASCULARIZACAO OCULAR;SIM;;ANTICORPOS MONO ANTINEO HER 2
Brolucizumabe;BROLUCIZUMABE;PRODS P ANTI NEOVASCULARIZACAO OCULAR;S01P PRODS P ANTI NEOVASCULARIZACAO OCULAR;SIM;;
Ranibizumabe;RANIBIZUMABE;PRODS P ANTI NEOVASCULARIZACAO OCULAR;S01P PRODS P ANTI NEOVASCULARIZACAO OCULAR;SIM;;
Cetorolaco colírio;CETOROLACO + COLIRIO|COL|OFT|OFTALMICO|OFTALMICA|SOL OFT;ANTIINFLAMATORIOS OFTALMOLOGICOS NAO ESTEROIDES;S01R ANTIINFLAMATORIOS OFTALMOLOGICOS NAO ESTEROIDES;;SIM;"CORTICOIDES TOPICOS PUROS; CORTICOIDES TOPICOS PUROS"
Dexametasona colírio;DEXAMETASONA + COLIRIO|COL|OFT|OFTALMICO|OFTALMICA|SOL OFT;CORTICOIDES TOPICOS PUROS;D07A CORTICOIDES TOPICOS PUROS;;;
Prednisolona colírio;PREDNISOLONA + COLIRIO|COL|OFT|OFTALMICO|OFTALMICA|SOL OFT;CORTICOIDES TOPICOS PUROS;D07A CORTICOIDES TOPICOS PUROS;;;
Ciprofloxacino colírio;CIPROFLOXACINO + COLIRIO|COL|OFT|OFTALMICO|OFTALMICA|SOL OFT;ANTINFECCIOSOS;S01A ANTINFECCIOSOS;SIM;;
Moxifloxacino colírio;MOXIFLOXACINO + COLIRIO|COL|OFT|OFTALMICO|OFTALMICA|SOL OFT;ANTINFECCIOSOS;S01A ANTINFECCIOSOS;SIM;;
Tobramicina colírio;TOBRAMICINA + COLIRIO|COL|OFT|OFTALMICO|OFTALMICA|SOL OFT;ANTINFECCIOSOS;S01A ANTINFECCIOSOS;SIM;;
Brimonidina;BRIMONIDINA;TOPICOS OFTALMOLOGICOS ANTIGLAUCOMA;;SIM;;
Bimatoprosta;BIMATOPROSTA;TOPICOS OFTALMOLOGICOS ANTIGLAUCOMA;;SIM;;
Latanoprosta;LATANOPROSTA;TOPICOS OFTALMOLOGICOS ANTIGLAUCOMA;;SIM;;
Travoprosta;TRAVOPROSTA;TOPICOS OFTALMOLOGICOS ANTIGLAUCOMA;;SIM;;
Betaxolol;BETAXOLOL;TOPICOS OFTALMOLOGICOS ANTIGLAUCOMA;;SIM;;
Timolol;TIMOLOL;TOPICOS OFTALMOLOGICOS ANTIGLAUCOMA;;SIM;;
Brinzolamida;BRINZOLAMIDA;TOPICOS OFTALMOLOGICOS ANTIGLAUCOMA;;SIM;;
Dorzolamida;DORZOLAMIDA;TOPICOS OFTALMOLOGICOS ANTIGLAUCOMA;;SIM;;
Atropina colírio;ATROPINA + COLIRIO|COL|OFT|OFTALMICO|OFTALMICA|SOL OFT;MIDRIATICOS E CICLOPLEGICOS;S01F MIDRIATICOS E CICLOPLEGICOS;SIM;;
Fenilefrina colírio;FENILEFRINA + COLIRIO|COL|OFT|OFTALMICO|OFTALMICA|SOL OFT;MIDRIATICOS E CICLOPLEGICOS;S01F MIDRIATICOS E CICLOPLEGICOS;SIM;;
Tropicamida;TROPICAMIDA;MIDRIATICOS E CICLOPLEGICOS;S01F MIDRIATICOS E CICLOPLEGICOS;SIM;;
Anastrozol;ANASTROZOL;INIBIDORES DA AROMATASE CITOSTATICA;L02B3 INIBIDORES DA AROMATASE CITOSTATICA;SIM;;
Exemestano;EXEMESTANO;INIBIDORES DA AROMATASE CITOSTATICA;L02B3 INIBIDORES DA AROMATASE CITOSTATICA;SIM;;
Fulvestranto;FULVESTRANTO;INIBIDORES DA AROMATASE CITOSTATICA;L02B3 INIBIDORES DA AROMATASE CITOSTATICA;SIM;;
Letrozol;LETROZOL;INIBIDORES DA AROMATASE CITOSTATICA;L02B3 INIBIDORES DA AROMATASE CITOSTATICA;SIM;;
Tamoxifeno;TAMOXIFENO;INIBIDORES DA AROMATASE CITOSTATICA;L02B3 INIBIDORES DA AROMATASE CITOSTATICA;SIM;;
Abiraterona;ABIRATERONA;CITOSTATICOS ANTIANDROGENOS;L02B2 CITOSTATICOS ANTIANDROGENOS;SIM;;
Bicalutamida;BICALUTAMIDA;CITOSTATICOS ANTIANDROGENOS;L02B2 CITOSTATICOS ANTIANDROGENOS;SIM;;
Enzalutamida;ENZALUTAMIDA;CITOSTATICOS ANTIANDROGENOS;L02B2 CITOSTATICOS ANTIANDROGENOS;SIM;;
Goserrelina;GOSERRELINA;CITOSTATICOS ANTIANDROGENOS;L02B2 CITOSTATICOS ANTIANDROGENOS;SIM;;
Leuprolida;LEUPROLIDA;CITOSTATICOS ANTIANDROGENOS;L02B2 CITOSTATICOS ANTIANDROGENOS;SIM;;
Atezolizumabe;ATEZOLIZUMABE;ANTICORPOS MONO ANTINEO PD 1 PD L1;L01G5 ANTICORPOS MONO ANTINEO PD 1 PD L1;SIM;;
Durvalumabe;DURVALUMABE;ANTICORPOS MONO ANTINEO PD 1 PD L1;L01G5 ANTICORPOS MONO ANTINEO PD 1 PD L1;SIM;;
Ipilimumabe;IPILIMUMABE;ANTICORPOS MONO ANTINEO PD 1 PD L1;L01G5 ANTICORPOS MONO ANTINEO PD 1 PD L1;SIM;;
Nivolumabe;NIVOLUMABE;ANTICORPOS MONO ANTINEO PD 1 PD L1;L01G5 ANTICORPOS MONO ANTINEO PD 1 PD L1;SIM;;
Pembrolizumabe;PEMBROLIZUMABE;ANTICORPOS MONO ANTINEO PD 1 PD L1;L01G5 ANTICORPOS MONO ANTINEO PD 1 PD L1;SIM;;
Carboplatina;CARBOPLATINA;AGENTES ALQUILINIZANTES;L01A AGENTES ALQUILINIZANTES;SIM;;
Ciclofosfamida;CICLOFOSFAMIDA;AGENTES ALQUILINIZANTES;L01A AGENTES ALQUILINIZANTES;SIM;;
Cisplatina;CISPLATINA;AGENTES ALQUILINIZANTES;L01A AGENTES ALQUILINIZANTES;SIM;;
Clorambucila;CLORAMBUCILA;AGENTES ALQUILINIZANTES;L01A AGENTES ALQUILINIZANTES;SIM;;
Ifosfamida;IFOSFAMIDA;AGENTES ALQUILINIZANTES;L01A AGENTES ALQUILINIZANTES;SIM;;
Oxaliplatina;OXALIPLATINA;AGENTES ALQUILINIZANTES;L01A AGENTES ALQUILINIZANTES;SIM;;
Docetaxel;DOCETAXEL;ALCALOIDES DE VINCA ANTINEOPLASICOS;L01C1 ALCALOIDES DE VINCA ANTINEOPLASICOS;SIM;;
Paclitaxel;PACLITAXEL;ALCALOIDES DE VINCA ANTINEOPLASICOS;L01C1 ALCALOIDES DE VINCA ANTINEOPLASICOS;SIM;;
Vimblastina;VIMBLASTINA;ALCALOIDES DE VINCA ANTINEOPLASICOS;L01C1 ALCALOIDES DE VINCA ANTINEOPLASICOS;SIM;;
Vincristina;VINCRISTINA;ALCALOIDES DE VINCA ANTINEOPLASICOS;L01C1 ALCALOIDES DE VINCA ANTINEOPLASICOS;SIM;;
Bleomicina;BLEOMICINA;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;SIM;;
Doxorrubicina;DOXORRUBICINA;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;SIM;;
Epirrubicina;EPIRRUBICINA;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;SIM;;
Mitomicina;MITOMICINA;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;SIM;;
5-Fluorouracila;5 FLUOROURACILA;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;;;
Capecitabina;CAPECITABINA;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;;;
Citarabina;CITARABINA;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;;;
Gencitabina;GENCITABINA;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;;;
Etoposídeo;ETOPOSIDEO;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;SIM;;
Irinotecano;IRINOTECANO;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;SIM;;
Topotecano;TOPOTECANO;ANTIMETABOLITOS;L01B ANTIMETABOLITOS;SIM;;
Cetuximabe;CETUXIMABE;ANTICORPOS MONO ANTINEO HER 2;L01G3 ANTICORPOS MONO ANTINEO HER 2;;;
Pertuzumabe;PERTUZUMABE;ANTICORPOS MONO ANTINEO HER 2;L01G3 ANTICORPOS MONO ANTINEO HER 2;;;
Rituximabe;RITUXIMABE;ANTICORPOS MONO ANTINEO HER 2;L01G3 ANTICORPOS MONO ANTINEO HER 2;;;
Trastuzumabe;TRASTUZUMABE;ANTICORPOS MONO ANTINEO HER 2;L01G3 ANTICORPOS MONO ANTINEO HER 2;;;
Erlotinibe;ERLOTINIBE;ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;L01H1 ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;SIM;;
Gefitinibe;GEFITINIBE;ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;L01H1 ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;SIM;;
Imatinibe;IMATINIBE;ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;L01H1 ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;SIM;;
Osimertinibe;OSIMERTINIBE;ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;L01H1 ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;SIM;;
Sorafenibe;SORAFENIBE;ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;L01H1 ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;SIM;;
Sunitinibe;SUNITINIBE;ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;L01H1 ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE BCR;SIM;;
Difenidramina;DIFENIDRAMINA;ANTIHISTAMINICOS SISTEMICOS;R06A ANTIHISTAMINICOS SISTEMICOS;SIM;;
Hidroxizina;HIDROXIZINA;ANTIHISTAMINICOS SISTEMICOS;R06A ANTIHISTAMINICOS SISTEMICOS;SIM;;
Prometazina;PROMETAZINA;ANTIHISTAMINICOS SISTEMICOS;R06A ANTIHISTAMINICOS SISTEMICOS;SIM;;
Bilastina;BILASTINA;ANTIHISTAMINICOS SISTEMICOS;R06A ANTIHISTAMINICOS SISTEMICOS;SIM;;
Cetirizina;CETIRIZINA;ANTIHISTAMINICOS SISTEMICOS;R06A ANTIHISTAMINICOS SISTEMICOS;SIM;;
Desloratadina;DESLORATADINA;ANTIHISTAMINICOS SISTEMICOS;R06A ANTIHISTAMINICOS SISTEMICOS;SIM;;
Fexofenadina;FEXOFENADINA;ANTIHISTAMINICOS SISTEMICOS;R06A ANTIHISTAMINICOS SISTEMICOS;SIM;;
Loratadina;LORATADINA;ANTIHISTAMINICOS SISTEMICOS;R06A ANTIHISTAMINICOS SISTEMICOS;SIM;;
Abaloparatida;ABALOPARATIDA;OUTROS REGULADORES DO CALCIO OSSEO;M05B9 OUTROS REGULADORES DO CALCIO OSSEO;SIM;;
Teriparatida;TERIPARATIDA;OUTROS REGULADORES DO CALCIO OSSEO;M05B9 OUTROS REGULADORES DO CALCIO OSSEO;SIM;;
Atropina (organofosforados);ATROPINA;SOLUCOES CLORETO DE SODIO;K01B1 SOLUCOES CLORETO DE SODIO;SIM;;
Azul de metileno;AZUL DE METILENO;SOLUCOES CLORETO DE SODIO;K01B1 SOLUCOES CLORETO DE SODIO;SIM;;
Flumazenil (benzodiazepínicos);FLUMAZENIL;SOLUCOES CLORETO DE SODIO;K01B1 SOLUCOES CLORETO DE SODIO;SIM;;
N-acetilcisteína (paracetamol);N ACETILCISTEINA;SOLUCOES CLORETO DE SODIO;K01B1 SOLUCOES CLORETO DE SODIO;SIM;;
Naloxona (opioides);NALOXONA;SOLUCOES CLORETO DE SODIO;K01B1 SOLUCOES CLORETO DE SODIO;SIM;;
Sildenafila;SILDENAFILA;INIBIDORES DE PDE5 PARA DISFUNCAO ERETIL;G04E1 INIBIDORES DE PDE5 PARA DISFUNCAO ERETIL;;;
Tadalafila;TADALAFILA;INIBIDORES DE PDE5 PARA DISFUNCAO ERETIL;G04E1 INIBIDORES DE PDE5 PARA DISFUNCAO ERETIL;;;
Vardenafila;VARDENAFILA;INIBIDORES DE PDE5 PARA DISFUNCAO ERETIL;G04E1 INIBIDORES DE PDE5 PARA DISFUNCAO ERETIL;;;
Cloreto de potássio;CLORETO DE POTASSIO;1 1 SOLUCOES ELETROLITICAS;K01A1 1 1 SOLUCOES ELETROLITICAS;SIM;;
Cloreto de sódio;CLORETO DE SODIO;SOLUCOES CLORETO DE SODIO;K01B1 SOLUCOES CLORETO DE SODIO;;;
