EST_MER_6;MARCA;FABRICANTE
D07B ASSOCIACOES DE CORTICOIDES;CANDICORT ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N07X TODAS OUTRAS DROGAS PARA SNC;CANNABIS ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R05C EXPECTORANTES;CARBOCISTEINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R05C EXPECTORANTES;CARBOCISTEINA XAROPE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C07A AGENTES BETA BLOQUEADORES PUROS;CARVEDILOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N02C CONTRA ENXAQUECA;CEFALIUM ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N02C CONTRA ENXAQUECA;CEFALIV ACH;ACHE LABORATORIOS FARMACEUTICOS SA
M01A ANTI REUMATICOS SEM ESTEROIDES;CELECOXIBE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
D07B ASSOCIACOES DE CORTICOIDES;CETOCONAZOL BETAMETASONA NEOMICINA ACH;ACHE LABORATORIOS FARMACEUTICOS SA
M01A ANTI REUMATICOS SEM ESTEROIDES;CETOPROFENO ACH;ACHE LABORATORIOS FARMACEUTICOS SA
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;CILOSTAZOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;CIPIDE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;CIPROFIBRATO ACH;ACHE LABORATORIOS FARMACEUTICOS SA
N06A A DEPRESSIVOS E REGUL DE HUMOR;CITALOPRAM ACH;ACHE LABORATORIOS FARMACEUTICOS SA
S01R ANTIINFLAMATORIOS OFTALMOLOGICOS NAO ESTEROIDES;CLILON ACH;ACHE LABORATORIOS FARMACEUTICOS SA
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;CLOPIDOGREL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;CLOPIN ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R05C EXPECTORANTES;CLOR DE AMBROXOL ACH;ACHE LABORATORIOS FARMACEUTICOS SA
R05C EXPECTORANTES;CLOR DE AMBROXOL XAROPE ACH;ACHE LABORATORIOS FARMACEUTICOS SA
