EST_MER_6;MARCA;FABRICANTE
A06A DROGAS PARA A CONSTIPACAO;MUVINLAX LIB;LIBBS FARMACEUTICA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;NACTALI LIB;LIBBS FARMACEUTICA
C09B INIBIDORES ACE COMBINADOS;NAPRIX A LIB;LIBBS FARMACEUTICA
C09A INIBIDORES ACE PUROS;NAPRIX LIB;LIBBS FARMACEUTICA
C09B INIBIDORES ACE COMBINADOS;NAPRIX LIB;LIBBS FARMACEUTICA
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;NAPRIX LIB;LIBBS FARMACEUTICA
G03C ESTROGENOS E ASSOCIACOES EXCETO G03A G03E G03F;NATIFA LIB;LIBBS FARMACEUTICA
G03F ASSOCIACOES DE ESTROGENOS E PROGESTOGENOS EXCETO G;NATIFA LIB;LIBBS FARMACEUTICA
L01X OUTROS ANTINEOPLASICOS;NEXTELAC LIB;LIBBS FARMACEUTICA
A02B ANTIULCEROSOS;OMEPRAZOL LIB;LIBBS FARMACEUTICA
A03F GASTROPROCINETICOS;PLAMET LIB;LIBBS FARMACEUTICA
C10C REGUL DE LIPIDEOS EM COMB C OUT LIPIDOS REGUL;PLENANCE EZE LIB;LIBBS FARMACEUTICA
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;PLENANCE LIB;LIBBS FARMACEUTICA
R01A PREPARACOES NASAIS TOPICAS;PLURAIR LIB;LIBBS FARMACEUTICA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;POZATO LIB;LIBBS FARMACEUTICA
N06A A DEPRESSIVOS E REGUL DE HUMOR;PROCIMAX LIB;LIBBS FARMACEUTICA
C07A AGENTES BETA BLOQUEADORES PUROS;QUENZOR LIB;LIBBS FARMACEUTICA
N06A A DEPRESSIVOS E REGUL DE HUMOR;RECONTER LIB;LIBBS FARMACEUTICA
R01A PREPARACOES NASAIS TOPICAS;SALSEP LIB;LIBBS FARMACEUTICA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;SIBLIMA LIB;LIBBS FARMACEUTICA
A10K GLITAZONA A DIABETICOS;STANGLIT LIB;LIBBS FARMACEUTICA
N06B PSICOESTIMULANTES;STAVIGILE LIB;LIBBS FARMACEUTICA
N02C CONTRA ENXAQUECA;SUMAX LIB;LIBBS FARMACEUTICA
N02C CONTRA ENXAQUECA;SUMAXPRO LIB;LIBBS FARMACEUTICA
D05X OUTROS PRODUTOS N/CORTICOIDES P DISTURB INFLAM;TARFIC LIB;LIBBS FARMACEUTICA
D07A CORTICOIDES TOPICOS PUROS;TOPISON LIB;LIBBS FARMACEUTICA
C01B ANTIARRITMICOS;VATIS LIB;LIBBS FARMACEUTICA
N06A A DEPRESSIVOS E REGUL DE HUMOR;VELIJA LIB;LIBBS FARMACEUTICA
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;VENZER HCT LIB;LIBBS FARMACEUTICA
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;VENZER LIB;LIBBS FARMACEUTICA
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;VENZER LIB;LIBBS FARMACEUTICA
N06A A DEPRESSIVOS E REGUL DE HUMOR;VEROTINA LIB;LIBBS FARMACEUTICA
L01G ANTICORPOS MONOCLONAIS ANTINEOPLASICOS;VIVAXXIA LIB;LIBBS FARMACEUTICA
N06A A DEPRESSIVOS E REGUL DE HUMOR;VOEXTOR LIB;LIBBS FARMACEUTICA
N06A A DEPRESSIVOS E REGUL DE HUMOR;ZETRON LIB;LIBBS FARMACEUTICA
N07D PRODUTOS ANTI ALZHEIMER;ZIDER LIB;LIBBS FARMACEUTICA
A07G REPOSITORES ELECTROLITICOS ORAIS;FIXIDRAT LIF;LIFAR
D01A ANTIMICOTICOS DERMATOLOGICOS;LIFAR IND;LIFAR
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;LIFAR LIF;LIFAR
D08A ANTISSEPTICOS E DESINFETANTES EXCL CURATIVOS MEDIC;LIKLUC LIK;LIKLUC
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;LIKLUC LIK;LIKLUC
A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB;LINEA;LINEA ALIMENTOS
A12C OUTROS SUPLEMENTOS MINERAIS;LINHOLEV LIL;LINHO LEV
A07G REPOSITORES ELECTROLITICOS ORAIS;LIQUIDZ;LIQUIDZ
R05C EXPECTORANTES;ACETILCISTEINA LIT;LITEE FARMA
A12A CALCIO;CALCIO+VITAMINA D LITEE;LITEE FARMA
R05C EXPECTORANTES;COF COF LIT;LITEE FARMA
A12A CALCIO;LITEE CALCIO MDK;LITEE FARMA
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;LIVER;LIVER COSMETICOS
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;PETER SANCHEZ;LOZZANO COSMETICOS EIRELI
S01K PRODUTOS PARA OLHO SECO;LUBRIS LUB;LUBRIS
N06A A DEPRESSIVOS E REGUL DE HUMOR;BRINTELLIX LUN;LUNDBECK
N06A A DEPRESSIVOS E REGUL DE HUMOR;CIPRAMIL LUN;LUNDBECK
N05A ANTIPSICOTICOS;CLOPIXOL LUN;LUNDBECK
N07D PRODUTOS ANTI ALZHEIMER;EBIX LUN;LUNDBECK
N06A A DEPRESSIVOS E REGUL DE HUMOR;LEXAPRO LUN;LUNDBECK
N05A ANTIPSICOTICOS;LUNDBECK LUN;LUNDBECK
N05A ANTIPSICOTICOS;REXULTI LUN;LUNDBECK
N06A A DEPRESSIVOS E REGUL DE HUMOR;VURTUOSO LUN;LUNDBECK
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;LUNIS CLA;LUNIS
A11X OUTRAS VITAMINAS PURAS;BIGENS;M LABS COMERCIO DE PRODUTOS NATURAIS
A12C OUTROS SUPLEMENTOS MINERAIS;DOLAMITA MAC;MACROPHYTUS
A12C OUTROS SUPLEMENTOS MINERAIS;FITOESBELT MAC;MACROPHYTUS
A12A CALCIO;MACROPHYTUS;MACROPHYTUS
R05C EXPECTORANTES;MAGARAZ;MAGARAZ
R02A PREPARACOES PARA GARGANTA;MAKROVIT;MAKROFARMA
R02A PREPARACOES PARA GARGANTA;MAKROVIT MKR;MAKROFARMA
A16A OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METAB;MAMBO;MAMBO
A12C OUTROS SUPLEMENTOS MINERAIS;MARCFARMA;MARCFARMA
J01G FLUOROQUINOLONAS;COLMEIA MRD;MARGARIDA SHIMBO DOCES CASEIRO
R02A PREPARACOES PARA GARGANTA;COLMEIA MRD;MARGARIDA SHIMBO DOCES CASEIRO
R05C EXPECTORANTES;COLMEIA MRD;MARGARIDA SHIMBO DOCES CASEIRO
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;NEORLY;MARIAH COSM.
A05A PRODUTOS PARA DISTURBIOS DO TRATO BILIAR;FIGAMAR;MARIANO FARMACIAS
G02X OTROS PRODUTOS GINECOLOGICOS;APLAUSE MAR;MARJAN FARMA
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;APLAUSE MAR;MARJAN FARMA
A12A CALCIO;CALDE KM MAR;MARJAN FARMA
A12C OUTROS SUPLEMENTOS MINERAIS;COLATEN MAR;MARJAN FARMA
A12C OUTROS SUPLEMENTOS MINERAIS;MARJAN MAR;MARJAN FARMA
C05C TERAPIA VARICOSA SISTEMICA;MARJAN MAR;MARJAN FARMA
J01E ASSOCIACOES DE TRIMETOPRIM E SIMILARES;MARJAN MAR;MARJAN FARMA
N05B HIPNOTICOS SEDATIVOS;MARJAN MAR;MARJAN FARMA
C10B PREPARACOES ANTIATEROMA DE ORIGEM NATURAL;MONALESS MAR;MARJAN FARMA
A06A DROGAS PARA A CONSTIPACAO;NORMATEN MAR;MARJAN FARMA
N05B HIPNOTICOS SEDATIVOS;PASALIX MAR;MARJAN FARMA
M05X OUTROS PRODUTOS SISTEMA MUSCULO ESQUELETICO;PERMEAR MAR;MARJAN FARMA
G02X OTROS PRODUTOS GINECOLOGICOS;RELACTAGEL MAR;MARJAN FARMA
G01A TRICOMONICIDAS;TAKIL MAR;MARJAN FARMA
G02X OTROS PRODUTOS GINECOLOGICOS;TENAG MAR;MARJAN FARMA
G01B ANTIMICOTICOS GINECOLOGICOS;TRIVAGEL MAR;MARJAN FARMA
G02X OTROS PRODUTOS GINECOLOGICOS;VAGI C MAR;MARJAN FARMA
C05B TERAPIA VARICOSA TOPICA;VECASTEN MAR;MARJAN FARMA
C05C TERAPIA VARICOSA SISTEMICA;VECASTEN MAR;MARJAN FARMA
C04A VASOTERAPIA CEREBRAL E PERIFERICA;VICOG MAR;MARJAN FARMA
R05C EXPECTORANTES;ACETILCISTEINA MAS;MASSIME
M05B REGULADORES DO CALCIO OSSEO;ARTROCART MAS;MASSIME
A12A CALCIO;DOSSEO MAS;MASSIME
A07G REPOSITORES ELECTROLITICOS ORAIS;HIDRASIM MAS;MASSIME
A12A CALCIO;PREVCAL D;MASSIME
A12A CALCIO;PREVCAL MDK;MASSIME
C02A ANTIHIPERTENSIVOS NAO HERBACEOS PUROS;ATENSINA MAW;MAWDSLEYS
N07D PRODUTOS ANTI ALZHEIMER;LEUSTATIN MAW;MAWDSLEYS
A12A CALCIO;FORTMAXIMUS;MAXIMUS
H04X OUTRAS HORMONIOS E PREPARACAO COM ACOES SIMILARES;ACALANTUS MAX;MAXINUTRI
H04X OUTRAS HORMONIOS E PREPARACAO COM ACOES SIMILARES;ACALENTUS MAX;MAXINUTRI
A12A CALCIO;CALCIO + VITAMINA D3 MXR;MAXINUTRI
A12A CALCIO;CALCIO DE OSTRA MXR;MAXINUTRI
A12A CALCIO;CALCIO MAGNESIO & ZINCO MXR;MAXINUTRI
A12A CALCIO;CALCIO+D3 MXR;MAXINUTRI
A12C OUTROS SUPLEMENTOS MINERAIS;CONDRIGEN MAX;MAXINUTRI
A07F MICROORGANISMOS ANTIDIARREICOS;DESLAC MAX;MAXINUTRI
A09A DIGESTIVOS INCLUIDO ENZIMAS;DESLAC MAX;MAXINUTRI
A07F MICROORGANISMOS ANTIDIARREICOS;FLORAMAIS MAX;MAXINUTRI
R05C EXPECTORANTES;FLUCETIL MAX;MAXINUTRI
L01J ANTINEOPLASICOS INIBIDORES DA PROTEASE;GLUTEZYM MAX;MAXINUTRI
A11D VITAMINA B1 E ASSOCIACOES;MAXINUTRI;MAXINUTRI
A12C OUTROS SUPLEMENTOS MINERAIS;MAXINUTRI;MAXINUTRI
A12A CALCIO;MAXINUTRI MAX;MAXINUTRI
R05C EXPECTORANTES;MAXINUTRI MAX;MAXINUTRI
R02A PREPARACOES PARA GARGANTA;PRO GARGO PROPOLIS MAX;MAXINUTRI
A07G REPOSITORES ELECTROLITICOS ORAIS;REHIDRALIN MAX;MAXINUTRI
B03A HEMATINICOS FERRO E TODAS AS ASSOCIACOES;VITATOON;MAXINUTRI
A07G REPOSITORES ELECTROLITICOS ORAIS;HIDRABEN MAY;MAYBEN
L01H ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE;BRISTOL MYERS SQUIBB;MCD MIAMI COSMETIC
N05B HIPNOTICOS SEDATIVOS;BRISTOL MYERS SQUIBB;MCD MIAMI COSMETIC
L01H ANTINEOPLASICOS INIBIDORES DA PROTEINA QUINASE;SPRYCEL MCD;MCD MIAMI COSMETIC
A12A CALCIO;CALCIOCON D3 CONLIFE;MCG
A12A CALCIO;CAOCIOCON;MCG
H04X OUTRAS HORMONIOS E PREPARACAO COM ACOES SIMILARES;MELATONINA MCG;MCG SUPLEMENTOS ALIMENTARES
A12C OUTROS SUPLEMENTOS MINERAIS;MAGNESIO DIMALATO;MEDINAL
R05C EXPECTORANTES;ACETILCISTEINA MED;MEDLEY
D06D PRODUTOS PARA INFECOES VIRAIS;ACICLOVIR MED;MEDLEY
J05B OUTROS ANTIVIRAIS;ACICLOVIR MED;MEDLEY
M01A ANTI REUMATICOS SEM ESTEROIDES;ACIDO MEFENAMICO MED;MEDLEY
D10A PREPARACOES ANTIACNE TOPICOS;ADAPEL MED;MEDLEY
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;AIXA MED;MEDLEY
P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;ALBENDAZOL MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;ALENTHUS XR MED;MEDLEY
M04A ANTIGOTOSOS;ALOPURINOL MED;MEDLEY
N05C TRANQUILIZANTES;ALPRAZOLAM MED;MEDLEY
R05C EXPECTORANTES;AMBROXOL MED;MEDLEY
J01G FLUOROQUINOLONAS;AMICACINA MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;AMITRIPTILINA MD7;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;AMITRIPTILINA MED;MEDLEY
J01C PENICILINAS DE AMPLO ESPECTRO;AMOXICILINA MED;MEDLEY
C08A ANTAGONISTAS DO CALCIO PUROS;ANLODIPINO MED;MEDLEY
B01F INIBIDOR DIRETO DO FATOR XA;APIXABANA MED;MEDLEY
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;ARACELI MED;MEDLEY
C07B ASSOCIACOES DE BETA BLOQUEADORES;ATENOLOL CLORTALIDONA MED;MEDLEY
C07A AGENTES BETA BLOQUEADORES PUROS;ATENOLOL MED;MEDLEY
C07B ASSOCIACOES DE BETA BLOQUEADORES;ATENOLOL MED;MEDLEY
C07B ASSOCIACOES DE BETA BLOQUEADORES;ATENOLOL+CLOR;MEDLEY
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;ATORVASTATINA MED;MEDLEY
N07A PRODUTOS PARA A ESCLEROSE MULTIPLA;AUBAGIO MED;MEDLEY
J01F MACROLIDEOS E SIMILARES;AZITROMICINA MED;MEDLEY
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;BENASTRE MED;MEDLEY
A06A DROGAS PARA A CONSTIPACAO;BENESTARE MED;MEDLEY
C08A ANTAGONISTAS DO CALCIO PUROS;BESILATO DE ANLODIPINO MED;MEDLEY
D05A PRODUTOS ANTIPSORIASE TOPICOS;BETAME+AC.SALICI MD7;MEDLEY
S01E MIOTICOS E PRAPARADOS ANTIGLAUCOMA;BIMATOPROSTA COLIRIO MED;MEDLEY
N05C TRANQUILIZANTES;BROMAZEPAM MED;MEDLEY
A03F GASTROPROCINETICOS;BROMOPRIDA MED;MEDLEY
C09A INIBIDORES ACE PUROS;CAPTOPRIL MED;MEDLEY
N03A ANTICONVULSIVANTES;CARBAMAZEPINA MED;MEDLEY
C07A AGENTES BETA BLOQUEADORES PUROS;CARVEDILOL MED;MEDLEY
J01D CEFALOSPORINAS;CEFADROXILA MED;MEDLEY
J01D CEFALOSPORINAS;CEFALEXINA MED;MEDLEY
D07B ASSOCIACOES DE CORTICOIDES;CETOCONAZOL BETAMETASONA NEOMICINA MED;MEDLEY
D07B ASSOCIACOES DE CORTICOIDES;CETOCONAZOL DIPR DE BETAMETASONA MED;MEDLEY
D01A ANTIMICOTICOS DERMATOLOGICOS;CETOCONAZOL MED;MEDLEY
J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;CETOCONAZOL MED;MEDLEY
M01A ANTI REUMATICOS SEM ESTEROIDES;CETOPROFENO MED;MEDLEY
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;CETOPROFENO MED;MEDLEY
D01A ANTIMICOTICOS DERMATOLOGICOS;CICLOPIROX OLAMINA MED;MEDLEY
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;CIPROFIBRATO MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;CITALOPRAM MED;MEDLEY
G04E PRODUTOS PARA DISFUNCAO ERETIL;CITRATO DE SILDENAFILA MED;MEDLEY
J01F MACROLIDEOS E SIMILARES;CLARITROMICINA MED;MEDLEY
G03G GONADOTROFINAS E OUTROS ESTIMULANTES DA OVULACAO;CLOMID MED;MEDLEY
N03A ANTICONVULSIVANTES;CLONAZEPAM MED;MEDLEY
B01C INIBIDORES DA AGREGACAO PLAQUETARIA;CLOPIDOGREL MED;MEDLEY
C01B ANTIARRITMICOS;CLOR DE AMIODARONA MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE AMITRIPTILINA MED;MEDLEY
R05C EXPECTORANTES;CLOR DE BROMEXINA MED;MEDLEY
R05C EXPECTORANTES;CLOR DE BROMEXINA XAROPE MED;MEDLEY
J01G FLUOROQUINOLONAS;CLOR DE CIPROFLOXACINO MED;MEDLEY
N07D PRODUTOS ANTI ALZHEIMER;CLOR DE DORZOLAMIDA MED;MEDLEY
R06A ANTIHISTAMINICOS SISTEMICOS;CLOR DE FEXOFENADINA MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE FLUOXETINA MED;MEDLEY
N07D PRODUTOS ANTI ALZHEIMER;CLOR DE MEMANTINA MED;MEDLEY
A10J BIGUANIDA A DIABETICOS;CLOR DE METFORMINA MED;MEDLEY
N02C CONTRA ENXAQUECA;CLOR DE NARATRIPTANA MED;MEDLEY
A04A ANTIEMETICOS E ANTINAUSEOSOS;CLOR DE ONDANSETRONA MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE PAROXETINA MED;MEDLEY
C07A AGENTES BETA BLOQUEADORES PUROS;CLOR DE PROPRANOLOL MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE SERTRALINA MED;MEDLEY
D01A ANTIMICOTICOS DERMATOLOGICOS;CLOR DE TERBINAFINA MED;MEDLEY
J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;CLOR DE TERBINAFINA MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE TRAZODONA MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;CLOR DE VENLAFAXINA MED;MEDLEY
R05C EXPECTORANTES;CLORIDRATO DE BROMEXINA MED;MEDLEY
N02C CONTRA ENXAQUECA;CLORIDRATO NARATRIPTANA MED;MEDLEY
D03A AGENTES CURATIVOS FERIDAS;CLOSTEBOL MED;MEDLEY
G01C ANTIBACTERIANOS GINECOLOGICOS;CLOSTEBOL MED;MEDLEY
D01A ANTIMICOTICOS DERMATOLOGICOS;CLOTRIMAZOL MED;MEDLEY
G01B ANTIMICOTICOS GINECOLOGICOS;CLOTRIMAZOL MED;MEDLEY
A10P INIBIDORES DE ANTIDIABETICOS DE SGLT2;DAPAGLIFLOZINA MED;MEDLEY
R06A ANTIHISTAMINICOS SISTEMICOS;DESLORATADINA MED;MEDLEY
D07A CORTICOIDES TOPICOS PUROS;DESONIDA MED;MEDLEY
D07A CORTICOIDES TOPICOS PUROS;DESONOL MED;MEDLEY
H02A CORTICOSTEROIDES PUROS;DEXAMETASONA MED;MEDLEY
H02B ASSOCIACOES CORTICOSTEROIDES SISTEMICOS;DEXCLORFENIRAMINA BETAMETASONA XAROPE MED;MEDLEY
R06A ANTIHISTAMINICOS SISTEMICOS;DEXCLORFENIRAMINA MED;MEDLEY
M01A ANTI REUMATICOS SEM ESTEROIDES;DICLOFENACO MED;MEDLEY
M02A ANTIREUMATICOS TOPICOS COM ANALGESICOS;DICLOFENACO MED;MEDLEY
M01A ANTI REUMATICOS SEM ESTEROIDES;DICLOFENACO RESINATO MED;MEDLEY
R06A ANTIHISTAMINICOS SISTEMICOS;DICLOR DE CETIRIZINA MED;MEDLEY
C01D TERAPIA CORONARIA EXCLUINDO ANTAGONISTAS DO CALCIO;DICLOR DE TRIMETAZIDINA MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;DIELOFT MED;MEDLEY
A03F GASTROPROCINETICOS;DIGEDRAT MED;MEDLEY
N02B NAO NARCOTICOS ANTIPIRETICOS;DIPIRONA MED;MEDLEY
A03F GASTROPROCINETICOS;DOMPERIDONA MED;MEDLEY
N07D PRODUTOS ANTI ALZHEIMER;DONEPEZILA MED;MEDLEY
R05D ANTITUSSIGENOS;DROPROPIZINA MED;MEDLEY
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;DROSPIRENONA MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;EFICENTUS MED;MEDLEY
J07E VACINAS VIRAIS;EFLUELDA MED;MEDLEY
C09A INIBIDORES ACE PUROS;ENALAPRIL MED;MEDLEY
A03D ASSOCIACOES COM ANALGESICOS;ESCOPOLAMINA MED;MEDLEY
A02B ANTIULCEROSOS;ESOMEPRAZOL MED;MEDLEY
D11A OUTRAS PREPARACOES DERMATOLOGICAS INCL XAMPUS MED;FINASTERIDA MED;MEDLEY
G04C PRODUTOS PARA HIPERPLASIA PROSTATICA BENIGNA HPB;FINASTERIDA MED;MEDLEY
J02A AGENTES ANTIMICOTICOS SISTEMICOS EXCLUINDO GRISEOF;FLUCONAZOL MED;MEDLEY
C04A VASOTERAPIA CEREBRAL E PERIFERICA;FLUVERT MED;MEDLEY
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;FLUXOCOR MED;MEDLEY
D07A CORTICOIDES TOPICOS PUROS;FUROATMOMETASO MED;MEDLEY
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;GENFIBROZILA MED;MEDLEY
A10H SULFONILOUREIA A DIABETICOS;GLIBENCLAMIDA MED;MEDLEY
A10H SULFONILOUREIA A DIABETICOS;GLIMEPIRIDA MED;MEDLEY
C07A AGENTES BETA BLOQUEADORES PUROS;HEMIFUMARATO DE BISOPROLOL MED;MEDLEY
N05A ANTIPSICOTICOS;HEMIFUMARATO DE QUETIAPINA MED;MEDLEY
C03A DIURETICOS;HIDROCLOROTIAZIDA MED;MEDLEY
N02B NAO NARCOTICOS ANTIPIRETICOS;IBUPROFENO MED;MEDLEY
N03A ANTICONVULSIVANTES;LAMOTRIGINA MED;MEDLEY
A02B ANTIULCEROSOS;LANSOPRAZOL MED;MEDLEY
J01G FLUOROQUINOLONAS;LEVOFLOXACINO MED;MEDLEY
N06B PSICOESTIMULANTES;LISDEXANFETAMINA MED;MEDLEY
C09A INIBIDORES ACE PUROS;LISINOPRIL MED;MEDLEY
R06A ANTIHISTAMINICOS SISTEMICOS;LORATADINA MED;MEDLEY
N05C TRANQUILIZANTES;LORAZEPAN MED;MEDLEY
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;LOSARTANA HIDROCLOROTIAZIDA MED;MEDLEY
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;LOSARTANA MED;MEDLEY
C09D ANTAGONISTAS DE LA ANGIOTENSINA II COMBINADOS;LOSARTANA MED;MEDLEY
N02B NAO NARCOTICOS ANTIPIRETICOS;MEDALGESICO MED;MEDLEY
N05B HIPNOTICOS SEDATIVOS;MEDANSIEDADE MED;MEDLEY
M01A ANTI REUMATICOS SEM ESTEROIDES;MEDLEY;MEDLEY
R06A ANTIHISTAMINICOS SISTEMICOS;MEDLEY;MEDLEY
G02X OTROS PRODUTOS GINECOLOGICOS;MEDMULHER MED;MEDLEY
N02A ANALGESICOS NARCOTICOS;MEDMULHER MED;MEDLEY
M01A ANTI REUMATICOS SEM ESTEROIDES;MELOXICAM MED;MEDLEY
C02A ANTIHIPERTENSIVOS NAO HERBACEOS PUROS;MESILATO DE DOXAZOSINA MED;MEDLEY
A10J BIGUANIDA A DIABETICOS;METFORMINA MED;MEDLEY
C02A ANTIHIPERTENSIVOS NAO HERBACEOS PUROS;METILDOPA MED;MEDLEY
N06B PSICOESTIMULANTES;METILFENIDATO MD7;MEDLEY
D01A ANTIMICOTICOS DERMATOLOGICOS;MICONAZOL MED;MEDLEY
G01B ANTIMICOTICOS GINECOLOGICOS;MICONAZOL MED;MEDLEY
N05B HIPNOTICOS SEDATIVOS;MIDAZOLAM MED;MEDLEY
G03A CONTRACEPTIVOS HORMONAIS SISTEMICOS;MINIMA MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;MIRTAZAPINA MED;MEDLEY
R03J ANTI ASMATICOS ANTAGONISTAS DE LEUCOTRIENE;MONTELUCASTE MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;MORATUS MED;MEDLEY
R05C EXPECTORANTES;MUCIBRON MED;MEDLEY
D06A ANTIBACTERIANOS TOPICOS;MUPIROCINA MED;MEDLEY
G01B ANTIMICOTICOS GINECOLOGICOS;NISTATINA MED;MEDLEY
D01A ANTIMICOTICOS DERMATOLOGICOS;NISTATINA OXIDO DE ZINCO MED;MEDLEY
P01B ANTIHELMINTICOS EXCETO OS ESQUISTOSOMICIDAS;NITAZOXANIDA MED;MEDLEY
J01G FLUOROQUINOLONAS;NORFLOXACINO MED;MEDLEY
N05A ANTIPSICOTICOS;OLANZAPINA MED;MEDLEY
C09C ANTAGONISTAS DE LA ANGIOTENSINA II PUROS;OLMESARTANA MEDOXOMILA MED;MEDLEY
A02B ANTIULCEROSOS;OMEPRAZOL MED;MEDLEY
M05B REGULADORES DO CALCIO OSSEO;OSTEONUTRI MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;OXALATO DE ESCITALOPRAM MED;MEDLEY
N03A ANTICONVULSIVANTES;OXCARBAZEPINA MED;MEDLEY
A02B ANTIULCEROSOS;PANTOPRAZOL MED;MEDLEY
N02B NAO NARCOTICOS ANTIPIRETICOS;PARACETAMOL MED;MEDLEY
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;PRAVASTATINA SODICA MED;MEDLEY
A02B ANTIULCEROSOS;PRAZOL MED;MEDLEY
H02A CORTICOSTEROIDES PUROS;PREDNISOLONA MED;MEDLEY
H02A CORTICOSTEROIDES PUROS;PREDNISONA MED;MEDLEY
N02D PROD GABAPENTINOIDES;PREGABALINA MED;MEDLEY
N02D PROD GABAPENTINOIDES;PROLEPTOL MED;MEDLEY
D07A CORTICOIDES TOPICOS PUROS;PROPIONATO DE CLOBETASOL MED;MEDLEY
A02B ANTIULCEROSOS;PYLORIPAC MED;MEDLEY
C09A INIBIDORES ACE PUROS;RAMIPRIL MED;MEDLEY
R05C EXPECTORANTES;RESPIRATUS MED;MEDLEY
D06A ANTIBACTERIANOS TOPICOS;RIFAMICINA MED;MEDLEY
N05A ANTIPSICOTICOS;RISPERIDONA MED;MEDLEY
B01F INIBIDOR DIRETO DO FATOR XA;RIVAROXABANA MED;MEDLEY
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;ROSUVASTATINA CALCICA MED;MEDLEY
G01A TRICOMONICIDAS;SECNIDAZOL MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;SERTRALINA MED;MEDLEY
A02A ANTIACIDOS ANTIFISETICOS;SIMETICONA MED;MEDLEY
A03A ANTIESPASMODICOS E ANTICOLINERGICOS PUROS;SIMETICONA MED;MEDLEY
C10A PREPARADOS PARA REGULACAO COLESTEROL E TRIGLICERID;SINVASTATINA MED;MEDLEY
N06A A DEPRESSIVOS E REGUL DE HUMOR;SUCCINATO DE DESVENLAFAXINA MED;MEDLEY
C07A AGENTES BETA BLOQUEADORES PUROS;SUCCINATO DE METOPROLOL MED;MEDLEY
G04D PRODUTOS PARA INCONTINENCIA URINARIA;SUCCINATO DE SOLIFENACINA MED;MEDLEY
P01D ANTIMALARICOS;SUL DE HIDROXICLOROQUINA MED;MEDLEY
D06A ANTIBACTERIANOS TOPICOS;SUL DE NEOMICINA BACITRACINA MED;MEDLEY
G04E PRODUTOS PARA DISFUNCAO ERETIL;TADALAFILA MED;MEDLEY
N02B NAO NARCOTICOS ANTIPIRETICOS;TERMOMED IBUP MED;MEDLEY
